CAR_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1_IMPROVEMENT,S2_IMPROVEMENT,S3_IMPROVEMENT,KPH,DRIVER_NAME,PIT_TIME,TEAM,LOCATION,EVENT,PITSTOP_TAKEN,EVENT_TYPE
71,2,70,0,A,0,0,0,110.6,NATO,0.0,ROKIT,L2,P2,False,P
71,3,100,0,A,0,0,0,101.9,NATO,0.0,ROKIT,L2,P2,False,P
71,4,90,2,A,2,2,2,117.8,NATO,0.0,ROKIT,L2,P2,False,P
71,5,109,0,B,0,0,0,88.9,NATO,0.0,ROKIT,L2,P2,False,P
94,1,109,0,A,0,0,0,72.4,LYNN,38.5,MAHINDRA,L2,P2,True,P
94,2,147,0,A,0,0,0,111.6,LYNN,0.0,MAHINDRA,L2,P2,False,P
94,3,73,0,A,0,0,0,116.4,LYNN,0.0,MAHINDRA,L2,P2,False,P
94,4,71,0,A,0,0,0,104.3,LYNN,0.0,MAHINDRA,L2,P2,False,P
94,5,88,2,A,2,2,2,118.6,LYNN,0.0,MAHINDRA,L2,P2,False,P
94,6,102,0,B,0,0,0,57.4,LYNN,0.0,MAHINDRA,L2,P2,False,P
99,1,88,0,A,0,0,0,68.1,WEHRLEIN,60.8,TAG,L2,P2,True,P
99,2,97,0,A,0,0,0,109.2,WEHRLEIN,0.0,TAG,L2,P2,False,P
99,3,94,2,A,3,2,2,121.0,WEHRLEIN,0.0,TAG,L2,P2,False,P
99,4,102,0,A,0,0,0,101.6,WEHRLEIN,0.0,TAG,L2,P2,False,P
99,5,77,0,A,0,0,0,115.0,WEHRLEIN,0.0,TAG,L2,P2,False,P
99,6,96,0,B,0,0,0,48.8,WEHRLEIN,0.0,TAG,L2,P2,False,P
10,1,99,0,A,0,0,0,51.6,BIRD,119.4,JAGUAR,L2,Q1,True,Q
10,2,68,2,A,2,2,2,122.4,BIRD,0.0,JAGUAR,L2,Q1,False,Q
13,1,77,0,A,0,0,0,52.4,COSTA,113.0,DS,L2,Q1,True,Q
13,2,86,2,A,2,4,2,121.6,COSTA,0.0,DS,L2,Q1,False,Q
17,1,84,0,A,0,0,0,54.0,VRIES,111.3,MERCEDES,L2,Q1,True,Q
17,2,125,2,A,2,2,2,122.7,VRIES,0.0,MERCEDES,L2,Q1,False,Q
20,1,130,0,A,0,0,0,52.8,EVANS,115.5,JAGUAR,L2,Q1,True,Q
20,2,92,2,A,2,2,4,122.1,EVANS,0.0,JAGUAR,L2,Q1,False,Q
4,1,88,0,A,0,0,0,104.1,FRIJNS,4.4,ENVISION,L2,Q1,True,Q
4,2,73,0,A,0,0,0,103.6,FRIJNS,0.0,ENVISION,L2,Q1,False,Q
4,3,88,4,A,4,2,2,122.8,FRIJNS,0.0,ENVISION,L2,Q1,False,Q
48,1,108,0,B,0,2,0,46.6,MORTARA,140.2,ROKIT,L2,Q1,True,Q
10,1,146,0,A,0,0,0,78.2,BIRD,30.5,JAGUAR,L2,P1,True,P
10,2,71,0,A,0,0,0,104.4,BIRD,0.0,JAGUAR,L2,P1,False,P
10,3,92,0,A,0,0,0,88.7,BIRD,0.0,JAGUAR,L2,P1,False,P
10,4,103,0,A,0,0,0,114.8,BIRD,0.0,JAGUAR,L2,P1,False,P
10,5,116,0,A,0,0,0,113.8,BIRD,0.0,JAGUAR,L2,P1,False,P
10,6,83,0,A,0,0,0,116.2,BIRD,0.0,JAGUAR,L2,P1,False,P
10,7,92,0,A,0,0,0,90.1,BIRD,0.0,JAGUAR,L2,P1,False,P
10,8,74,0,A,0,0,0,98.8,BIRD,0.0,JAGUAR,L2,P1,False,P
10,9,122,0,A,0,0,0,119.2,BIRD,0.0,JAGUAR,L2,P1,False,P
10,10,102,0,A,0,0,0,88.1,BIRD,0.0,JAGUAR,L2,P1,False,P
10,11,87,0,A,0,0,0,119.6,BIRD,0.0,JAGUAR,L2,P1,False,P
10,12,68,0,B,0,0,0,112.1,BIRD,0.0,JAGUAR,L2,P1,False,P
10,13,134,0,A,0,0,0,23.1,BIRD,413.0,JAGUAR,L2,P1,True,P
10,14,90,0,A,0,0,0,110.3,BIRD,0.0,JAGUAR,L2,P1,False,P
10,15,147,0,B,0,0,0,75.2,BIRD,0.0,JAGUAR,L2,P1,False,P
10,16,86,0,A,0,0,0,38.9,BIRD,205.3,JAGUAR,L2,P1,True,P
10,17,121,2,A,2,2,2,122.6,BIRD,0.0,JAGUAR,L2,P1,False,P
10,18,120,0,A,0,0,0,95.1,BIRD,0.0,JAGUAR,L2,P1,False,P
11,1,101,0,A,0,0,0,78.7,GRASSI,27.9,AUDI,L2,P1,True,P
11,2,71,0,A,0,0,0,104.5,GRASSI,0.0,AUDI,L2,P1,False,P
11,3,76,0,A,0,0,0,88.1,GRASSI,0.0,AUDI,L2,P1,False,P
11,4,85,0,A,0,0,0,114.8,GRASSI,0.0,AUDI,L2,P1,False,P
11,5,89,0,A,0,0,0,115.8,GRASSI,0.0,AUDI,L2,P1,False,P
11,6,101,0,A,0,0,0,114.9,GRASSI,0.0,AUDI,L2,P1,False,P
11,7,74,0,A,0,0,0,104.0,GRASSI,0.0,AUDI,L2,P1,False,P
11,8,98,0,A,0,0,0,104.4,GRASSI,0.0,AUDI,L2,P1,False,P
11,9,123,0,A,0,0,0,118.0,GRASSI,0.0,AUDI,L2,P1,False,P
11,10,73,0,A,0,0,0,118.4,GRASSI,0.0,AUDI,L2,P1,False,P
11,11,149,0,B,0,0,0,106.8,GRASSI,0.0,AUDI,L2,P1,False,P
11,12,188,0,A,0,0,0,23.9,GRASSI,400.4,AUDI,L2,P1,True,P
11,13,100,0,A,0,0,0,111.4,GRASSI,0.0,AUDI,L2,P1,False,P
11,14,94,0,A,0,0,0,121.8,GRASSI,0.0,AUDI,L2,P1,False,P
11,15,108,0,B,0,0,0,111.5,GRASSI,0.0,AUDI,L2,P1,False,P
11,16,102,0,A,0,0,0,26.8,GRASSI,336.6,AUDI,L2,P1,True,P
11,17,95,3,A,2,2,3,123.2,GRASSI,0.0,AUDI,L2,P1,False,P
11,18,86,0,A,0,0,0,113.7,GRASSI,0.0,AUDI,L2,P1,False,P
13,1,95,0,A,0,0,0,89.2,COSTA,14.0,DS,L2,P1,True,P
13,2,129,0,A,0,0,0,110.8,COSTA,0.0,DS,L2,P1,False,P
13,3,98,0,A,0,0,0,84.8,COSTA,0.0,DS,L2,P1,False,P
13,4,108,0,A,0,0,0,114.4,COSTA,0.0,DS,L2,P1,False,P
13,5,89,0,A,0,0,0,115.3,COSTA,0.0,DS,L2,P1,False,P
13,6,69,0,A,0,0,0,103.8,COSTA,0.0,DS,L2,P1,False,P
13,7,110,0,A,0,0,0,117.2,COSTA,0.0,DS,L2,P1,False,P
13,8,85,0,A,0,0,0,91.5,COSTA,0.0,DS,L2,P1,False,P
13,9,94,0,A,0,0,0,115.1,COSTA,0.0,DS,L2,P1,False,P
13,10,73,0,B,0,0,0,109.6,COSTA,0.0,DS,L2,P1,False,P
13,11,93,0,A,0,0,0,27.5,COSTA,315.6,DS,L2,P1,True,P
13,12,133,0,A,0,0,0,118.5,COSTA,0.0,DS,L2,P1,False,P
13,13,84,0,A,0,0,0,91.4,COSTA,0.0,DS,L2,P1,False,P
13,14,129,0,A,0,0,2,119.9,COSTA,0.0,DS,L2,P1,False,P
13,15,141,0,A,0,0,0,93.2,COSTA,0.0,DS,L2,P1,False,P
13,16,176,0,B,0,0,0,61.2,COSTA,0.0,DS,L2,P1,False,P
13,17,98,0,A,0,0,0,53.6,COSTA,93.4,DS,L2,P1,True,P
13,18,93,2,A,2,3,0,121.6,COSTA,0.0,DS,L2,P1,False,P
13,19,157,0,A,0,0,0,114.1,COSTA,0.0,DS,L2,P1,False,P
17,1,84,0,A,0,0,0,85.0,VRIES,19.5,MERCEDES,L2,P1,True,P
17,2,72,0,A,0,0,0,99.8,VRIES,0.0,MERCEDES,L2,P1,False,P
17,3,84,0,A,0,0,0,87.6,VRIES,0.0,MERCEDES,L2,P1,False,P
17,4,150,0,A,0,0,0,114.7,VRIES,0.0,MERCEDES,L2,P1,False,P
17,5,90,0,A,0,0,0,115.3,VRIES,0.0,MERCEDES,L2,P1,False,P
17,6,113,0,A,0,0,0,110.8,VRIES,0.0,MERCEDES,L2,P1,False,P
17,7,98,0,A,0,0,0,116.2,VRIES,0.0,MERCEDES,L2,P1,False,P
17,8,94,0,A,0,0,0,114.5,VRIES,0.0,MERCEDES,L2,P1,False,P
17,9,157,0,B,0,0,0,107.7,VRIES,0.0,MERCEDES,L2,P1,False,P
17,10,71,0,A,0,0,0,28.9,VRIES,304.0,MERCEDES,L2,P1,True,P
17,11,108,0,A,0,0,0,118.9,VRIES,0.0,MERCEDES,L2,P1,False,P
17,12,87,0,A,0,0,0,104.5,VRIES,0.0,MERCEDES,L2,P1,False,P
17,13,107,0,A,0,0,0,118.8,VRIES,0.0,MERCEDES,L2,P1,False,P
17,14,130,0,A,0,0,0,94.7,VRIES,0.0,MERCEDES,L2,P1,False,P
17,15,90,0,A,0,0,2,120.2,VRIES,0.0,MERCEDES,L2,P1,False,P
17,16,97,0,B,0,0,0,93.9,VRIES,0.0,MERCEDES,L2,P1,False,P
17,17,83,0,A,0,0,0,36.6,VRIES,218.2,MERCEDES,L2,P1,True,P
17,18,87,2,A,2,2,0,121.5,VRIES,0.0,MERCEDES,L2,P1,False,P
17,19,83,0,A,0,0,0,99.9,VRIES,0.0,MERCEDES,L2,P1,False,P
20,1,162,0,A,0,0,0,75.6,EVANS,31.4,JAGUAR,L2,P1,True,P
20,2,94,0,A,0,0,0,97.7,EVANS,0.0,JAGUAR,L2,P1,False,P
20,3,90,0,A,0,0,0,94.6,EVANS,0.0,JAGUAR,L2,P1,False,P
20,4,102,0,A,0,0,0,114.6,EVANS,0.0,JAGUAR,L2,P1,False,P
20,5,125,0,A,0,0,0,115.4,EVANS,0.0,JAGUAR,L2,P1,False,P
20,6,121,0,A,0,0,0,115.9,EVANS,0.0,JAGUAR,L2,P1,False,P
20,7,75,0,A,0,0,0,103.2,EVANS,0.0,JAGUAR,L2,P1,False,P
20,8,94,0,A,0,0,0,111.8,EVANS,0.0,JAGUAR,L2,P1,False,P
20,9,74,0,A,0,0,0,106.1,EVANS,0.0,JAGUAR,L2,P1,False,P
20,10,87,0,A,0,0,0,118.7,EVANS,0.0,JAGUAR,L2,P1,False,P
20,11,89,0,B,0,0,0,110.9,EVANS,0.0,JAGUAR,L2,P1,False,P
20,12,93,0,A,0,0,0,18.6,EVANS,537.7,JAGUAR,L2,P1,True,P
20,13,189,0,A,0,0,0,121.3,EVANS,0.0,JAGUAR,L2,P1,False,P
20,14,105,0,B,0,0,0,86.2,EVANS,0.0,JAGUAR,L2,P1,False,P
20,15,105,0,A,0,0,0,37.6,EVANS,210.7,JAGUAR,L2,P1,True,P
20,16,107,0,A,0,0,0,109.9,EVANS,0.0,JAGUAR,L2,P1,False,P
20,17,93,2,A,2,2,2,122.2,EVANS,0.0,JAGUAR,L2,P1,False,P
22,1,95,0,A,0,0,0,86.3,ROWLAND,18.4,NISSAN,L2,P1,True,P
22,2,85,0,A,0,0,0,107.7,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,3,73,0,A,0,0,0,83.6,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,4,145,0,A,0,0,0,117.3,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,5,72,0,A,0,0,0,112.6,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,6,91,0,A,0,0,0,115.5,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,7,107,0,A,0,0,0,116.0,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,8,85,0,A,0,0,0,95.4,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,9,69,0,A,0,0,0,118.8,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,10,85,0,B,0,0,0,91.7,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,11,89,0,A,0,0,0,24.3,ROWLAND,378.2,NISSAN,L2,P1,True,P
22,12,94,0,A,0,0,0,107.3,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,13,83,0,A,0,0,2,122.1,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,14,98,0,A,0,0,0,108.8,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,15,111,0,B,0,0,0,93.2,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,16,99,0,A,0,0,0,34.1,ROWLAND,240.5,NISSAN,L2,P1,True,P
22,17,82,0,A,0,0,0,110.4,ROWLAND,0.0,NISSAN,L2,P1,False,P
22,18,98,2,A,2,2,0,122.2,ROWLAND,0.0,NISSAN,L2,P1,False,P
23,1,88,0,A,0,0,0,87.3,BUEMI,15.1,NISSAN,L2,P1,True,P
23,2,73,0,A,0,0,0,108.1,BUEMI,0.0,NISSAN,L2,P1,False,P
23,3,93,0,A,0,0,0,84.7,BUEMI,0.0,NISSAN,L2,P1,False,P
23,4,100,0,A,0,0,0,114.3,BUEMI,0.0,NISSAN,L2,P1,False,P
23,5,88,0,A,0,0,0,115.5,BUEMI,0.0,NISSAN,L2,P1,False,P
23,6,116,0,A,0,0,0,114.0,BUEMI,0.0,NISSAN,L2,P1,False,P
23,7,101,0,A,0,0,0,115.1,BUEMI,0.0,NISSAN,L2,P1,False,P
23,8,81,0,A,0,0,0,100.0,BUEMI,0.0,NISSAN,L2,P1,False,P
23,9,112,2,A,0,2,0,118.2,BUEMI,0.0,NISSAN,L2,P1,False,P
23,10,87,0,B,0,0,0,105.2,BUEMI,0.0,NISSAN,L2,P1,False,P
23,11,100,0,B,0,0,0,21.3,BUEMI,311.7,NISSAN,L2,P1,True,P
23,12,73,0,B,0,0,0,21.0,BUEMI,359.7,NISSAN,L2,P1,True,P
23,13,110,0,A,0,0,0,71.4,BUEMI,57.2,NISSAN,L2,P1,True,P
23,14,83,0,A,0,0,0,102.2,BUEMI,0.0,NISSAN,L2,P1,False,P
23,15,69,0,A,2,0,2,103.4,BUEMI,0.0,NISSAN,L2,P1,False,P
25,1,81,0,A,0,0,0,79.1,VERGNE,12.4,DS,L2,P1,True,P
25,2,97,0,A,0,0,0,104.5,VERGNE,0.0,DS,L2,P1,False,P
25,3,84,0,A,0,0,0,89.5,VERGNE,0.0,DS,L2,P1,False,P
25,4,96,0,A,0,0,0,93.2,VERGNE,0.0,DS,L2,P1,False,P
25,5,103,0,A,0,0,0,115.2,VERGNE,0.0,DS,L2,P1,False,P
25,6,105,0,A,0,0,0,114.4,VERGNE,0.0,DS,L2,P1,False,P
25,7,83,0,A,0,0,0,118.0,VERGNE,0.0,DS,L2,P1,False,P
25,8,130,0,A,0,0,0,83.2,VERGNE,0.0,DS,L2,P1,False,P
25,9,117,0,A,0,0,0,102.0,VERGNE,0.0,DS,L2,P1,False,P
25,10,89,0,B,0,0,0,107.2,VERGNE,0.0,DS,L2,P1,False,P
25,11,144,0,A,0,0,0,29.1,VERGNE,293.6,DS,L2,P1,True,P
25,12,93,0,A,0,0,0,96.5,VERGNE,0.0,DS,L2,P1,False,P
25,13,119,0,A,0,2,0,121.9,VERGNE,0.0,DS,L2,P1,False,P
25,14,73,0,A,0,0,0,104.9,VERGNE,0.0,DS,L2,P1,False,P
25,15,123,0,A,0,0,0,119.9,VERGNE,0.0,DS,L2,P1,False,P
25,16,100,0,B,0,0,0,55.7,VERGNE,0.0,DS,L2,P1,False,P
25,17,107,0,A,0,0,0,55.4,VERGNE,91.8,DS,L2,P1,True,P
25,18,97,0,A,0,0,0,107.1,VERGNE,0.0,DS,L2,P1,False,P
25,19,73,2,A,3,0,2,122.1,VERGNE,0.0,DS,L2,P1,False,P
27,1,73,0,A,0,0,0,79.7,ERIKSSON,26.2,BMW,L2,P1,True,P
27,2,110,0,A,0,0,0,104.1,ERIKSSON,0.0,BMW,L2,P1,False,P
27,3,133,0,A,0,0,0,83.1,ERIKSSON,0.0,BMW,L2,P1,False,P
27,4,92,0,A,0,0,0,115.0,ERIKSSON,0.0,BMW,L2,P1,False,P
27,5,122,0,A,0,0,0,116.3,ERIKSSON,0.0,BMW,L2,P1,False,P
27,6,87,0,A,0,0,0,101.7,ERIKSSON,0.0,BMW,L2,P1,False,P
27,7,82,0,A,0,0,0,44.6,ERIKSSON,0.0,BMW,L2,P1,False,P
27,8,79,0,A,0,0,0,117.7,ERIKSSON,0.0,BMW,L2,P1,False,P
27,9,87,0,A,0,0,0,102.6,ERIKSSON,0.0,BMW,L2,P1,False,P
27,10,71,0,A,0,0,0,118.8,ERIKSSON,0.0,BMW,L2,P1,False,P
27,11,98,0,B,0,0,0,107.0,ERIKSSON,0.0,BMW,L2,P1,False,P
27,12,88,0,A,0,0,0,34.3,ERIKSSON,236.6,BMW,L2,P1,True,P
27,13,74,0,A,0,0,0,117.2,ERIKSSON,0.0,BMW,L2,P1,False,P
27,14,76,0,A,0,0,0,104.3,ERIKSSON,0.0,BMW,L2,P1,False,P
27,15,89,0,B,0,0,0,81.6,ERIKSSON,0.0,BMW,L2,P1,False,P
27,16,114,0,A,0,0,0,34.4,ERIKSSON,237.5,BMW,L2,P1,True,P
27,17,0,2,A,2,2,2,122.2,ERIKSSON,0.0,BMW,L2,P1,False,P
27,18,122,0,A,0,0,0,103.7,ERIKSSON,0.0,BMW,L2,P1,False,P
28,1,93,0,A,0,0,0,58.3,GUNTHER,86.7,BMW,L2,P1,True,P
28,2,87,0,A,0,0,0,79.5,GUNTHER,0.0,BMW,L2,P1,False,P
28,3,93,0,A,0,0,0,115.4,GUNTHER,0.0,BMW,L2,P1,False,P
28,4,87,0,A,0,0,0,116.9,GUNTHER,0.0,BMW,L2,P1,False,P
28,5,83,0,A,0,0,0,116.8,GUNTHER,0.0,BMW,L2,P1,False,P
28,6,113,0,B,0,0,0,109.9,GUNTHER,0.0,BMW,L2,P1,False,P
28,7,105,0,A,0,0,0,21.9,GUNTHER,447.9,BMW,L2,P1,True,P
28,8,117,0,A,0,0,0,117.0,GUNTHER,0.0,BMW,L2,P1,False,P
28,9,129,0,A,0,0,0,98.4,GUNTHER,0.0,BMW,L2,P1,False,P
28,10,71,0,B,0,0,0,114.6,GUNTHER,0.0,BMW,L2,P1,False,P
28,11,83,0,B,0,0,0,21.9,GUNTHER,388.6,BMW,L2,P1,True,P
28,12,70,0,A,0,0,0,47.5,GUNTHER,138.7,BMW,L2,P1,True,P
28,13,83,2,A,0,2,2,121.8,GUNTHER,0.0,BMW,L2,P1,False,P
28,14,96,0,A,0,0,0,114.1,GUNTHER,0.0,BMW,L2,P1,False,P
28,15,88,0,A,2,0,0,116.2,GUNTHER,0.0,BMW,L2,P1,False,P
29,1,72,0,A,0,0,0,74.4,SIMS,36.4,MAHINDRA,L2,P1,True,P
29,2,119,0,A,0,0,0,104.1,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,3,89,0,A,0,0,0,92.0,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,4,84,0,A,0,0,0,114.8,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,5,91,0,A,0,0,0,115.6,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,6,96,0,A,0,0,0,116.1,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,7,104,0,A,0,0,0,109.7,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,8,103,0,A,0,0,0,106.5,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,9,70,0,A,0,0,0,117.6,SIMS,0.0,MAHINDRA,L2,P1,False,P
29,10,91,0,B,0,0,0,110.8,SIMS,0.0,MAHINDRA,L2,P1,False,P
