CAR_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1_IMPROVEMENT,S2_IMPROVEMENT,S3_IMPROVEMENT,KPH,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,TEAM,LOCATION,EVENT,PITSTOP_TAKEN,EVENT_TYPE
23,1,88,0,0,0,0,0,68.1,94.3,36.6,47.7,23,60.8,11,1,1,1,0
23,2,97,0,0,0,0,0,109.2,28.2,37.3,46.0,23,0.0,11,1,1,0,0
23,3,94,1,0,2,1,1,121.0,25.1,32.7,42.7,23,0.0,11,1,1,0,0
23,4,102,0,0,0,0,0,101.6,28.8,38.5,52.4,23,0.0,11,1,1,0,0
23,5,77,0,0,0,0,0,115.0,26.4,34.4,45.0,23,0.0,11,1,1,0,0
23,6,96,0,1,0,0,0,48.8,73.2,83.5,,23,0.0,11,1,1,0,0
5,1,99,0,0,0,0,0,51.6,147.9,35.1,52.9,0,119.4,5,1,3,1,1
5,2,68,1,0,1,1,1,122.4,25.0,32.7,41.8,0,0.0,5,1,3,0,1
7,1,77,0,0,0,0,0,52.4,144.9,37.0,50.4,5,113.0,3,1,3,1,1
7,2,86,1,0,1,3,1,121.6,25.0,32.3,42.8,5,0.0,3,1,3,0,1
8,1,84,0,0,0,0,0,54.0,141.1,37.2,46.9,22,111.3,7,1,3,1,1
8,2,125,1,0,1,1,1,122.7,24.9,32.6,41.6,22,0.0,7,1,3,0,1
9,1,130,0,0,0,0,0,52.8,145.2,37.1,48.2,7,115.5,5,1,3,1,1
9,2,92,1,0,1,1,3,122.1,25.2,32.8,41.6,7,0.0,5,1,3,0,1
0,1,88,0,0,0,0,0,104.1,34.6,37.0,45.3,8,4.4,4,1,3,1,1
0,2,73,0,0,0,0,0,103.6,29.0,36.9,51.5,8,0.0,4,1,3,0,1
0,3,88,3,0,3,1,1,122.8,24.8,32.5,41.8,8,0.0,4,1,3,0,1
19,1,108,0,1,0,1,0,46.6,170.0,37.2,54.2,13,140.2,10,1,3,1,1
5,1,146,0,0,0,0,0,78.2,64.7,41.2,49.8,0,30.5,5,1,0,1,0
5,2,71,0,0,0,0,0,104.4,28.1,35.9,52.6,0,0.0,5,1,0,0,0
5,3,92,0,0,0,0,0,88.7,53.7,37.2,46.4,0,0.0,5,1,0,0,0
5,4,103,0,0,0,0,0,114.8,27.0,34.8,44.2,0,0.0,5,1,0,0,0
5,5,116,0,0,0,0,0,113.8,26.7,34.7,45.5,0,0.0,5,1,0,0,0
5,6,83,0,0,0,0,0,116.2,26.9,34.4,43.5,0,0.0,5,1,0,0,0
5,7,92,0,0,0,0,0,90.1,37.2,41.3,56.5,0,0.0,5,1,0,0,0
5,8,74,0,0,0,0,0,98.8,26.1,38.1,58.8,0,0.0,5,1,0,0,0
5,9,122,0,0,0,0,0,119.2,25.9,33.7,42.5,0,0.0,5,1,0,0,0
5,10,102,0,0,0,0,0,88.1,33.1,46.1,58.9,0,0.0,5,1,0,0,0
5,11,87,0,0,0,0,0,119.6,25.8,33.6,42.3,0,0.0,5,1,0,0,0
5,12,68,0,1,0,0,0,112.1,26.7,34.2,47.6,0,0.0,5,1,0,0,0
5,13,134,0,0,0,0,0,23.1,443.6,36.8,45.4,0,413.0,5,1,0,1,0
5,14,90,0,0,0,0,0,110.3,27.4,35.5,47.4,0,0.0,5,1,0,0,0
5,15,147,0,1,0,0,0,75.2,25.0,49.1,,0,0.0,5,1,0,0,0
5,16,86,0,0,0,0,0,38.9,233.0,35.1,44.7,0,205.3,5,1,0,1,0
5,17,121,1,0,1,1,1,122.6,24.8,32.8,41.7,0,0.0,5,1,0,0,0
5,18,120,0,0,0,0,0,95.1,35.4,48.4,44.1,0,0.0,5,1,0,0,0
6,1,101,0,0,0,0,0,78.7,62.5,41.6,50.4,9,27.9,0,1,0,1,0
6,2,71,0,0,0,0,0,104.5,28.0,36.3,52.1,9,0.0,0,1,0,0,0
6,3,76,0,0,0,0,0,88.1,54.3,36.2,47.6,9,0.0,0,1,0,0,0
6,4,85,0,0,0,0,0,114.8,27.0,34.9,44.1,9,0.0,0,1,0,0,0
6,5,89,0,0,0,0,0,115.8,26.9,34.6,43.6,9,0.0,0,1,0,0,0
6,6,101,0,0,0,0,0,114.9,26.7,34.9,44.2,9,0.0,0,1,0,0,0
6,7,74,0,0,0,0,0,104.0,32.4,37.2,47.5,9,0.0,0,1,0,0,0
6,8,98,0,0,0,0,0,104.4,26.9,34.8,54.9,9,0.0,0,1,0,0,0
6,9,123,0,0,0,0,0,118.0,26.3,34.0,42.9,9,0.0,0,1,0,0,0
6,10,73,0,0,0,0,0,118.4,26.2,33.9,42.7,9,0.0,0,1,0,0,0
6,11,149,0,1,0,0,0,106.8,26.5,34.1,,9,0.0,0,1,0,0,0
6,12,188,0,0,0,0,0,23.9,429.8,34.7,44.0,9,400.4,0,1,0,1,0
6,13,100,0,0,0,0,0,111.4,26.3,34.0,49.0,9,0.0,0,1,0,0,0
6,14,94,0,0,0,0,0,121.8,25.4,32.8,41.7,9,0.0,0,1,0,0,0
6,15,108,0,1,0,0,0,111.5,27.5,34.1,47.5,9,0.0,0,1,0,0,0
6,16,102,0,0,0,0,0,26.8,364.7,35.3,54.0,9,336.6,0,1,0,1,0
6,17,95,2,0,1,1,2,123.2,25.0,32.5,41.3,9,0.0,0,1,0,0,0
6,18,86,0,0,0,0,0,113.7,26.9,34.0,46.2,9,0.0,0,1,0,0,0
7,1,95,0,0,0,0,0,89.2,48.5,40.4,47.5,5,14.0,3,1,0,1,0
7,2,129,0,0,0,0,0,110.8,28.2,36.4,45.2,5,0.0,3,1,0,0,0
7,3,98,0,0,0,0,0,84.8,54.3,44.8,44.4,5,0.0,3,1,0,0,0
7,4,108,0,0,0,0,0,114.4,27.4,35.1,43.9,5,0.0,3,1,0,0,0
7,5,89,0,0,0,0,0,115.3,26.6,35.5,43.4,5,0.0,3,1,0,0,0
7,6,69,0,0,0,0,0,103.8,33.5,39.0,44.7,5,0.0,3,1,0,0,0
7,7,110,0,0,0,0,0,117.2,26.5,34.1,43.2,5,0.0,3,1,0,0,0
7,8,85,0,0,0,0,0,91.5,35.7,43.3,54.1,5,0.0,3,1,0,0,0
7,9,94,0,0,0,0,0,115.1,26.3,33.7,45.7,5,0.0,3,1,0,0,0
7,10,73,0,1,0,0,0,109.6,28.3,33.7,49.1,5,0.0,3,1,0,0,0
7,11,93,0,0,0,0,0,27.5,351.0,43.1,47.9,5,315.6,3,1,0,1,0
7,12,133,0,0,0,0,0,118.5,26.2,33.7,42.8,5,0.0,3,1,0,0,0
7,13,84,0,0,0,0,0,91.4,36.5,47.6,49.0,5,0.0,3,1,0,0,0
7,14,129,0,0,0,0,1,119.9,25.7,33.3,42.4,5,0.0,3,1,0,0,0
7,15,141,0,0,0,0,0,93.2,35.8,44.8,50.0,5,0.0,3,1,0,0,0
7,16,176,0,1,0,0,0,61.2,25.3,81.7,,5,0.0,3,1,0,0,0
7,17,98,0,0,0,0,0,53.6,128.3,42.8,56.0,5,93.4,3,1,0,1,0
7,18,93,1,0,1,2,0,121.6,24.9,32.4,42.7,5,0.0,3,1,0,0,0
7,19,157,0,0,0,0,0,114.1,25.8,36.4,44.5,5,0.0,3,1,0,0,0
8,1,84,0,0,0,0,0,85.0,52.9,40.2,50.0,22,19.5,7,1,0,1,0
8,2,72,0,0,0,0,0,99.8,28.1,37.3,56.5,22,0.0,7,1,0,0,0
8,3,84,0,0,0,0,0,87.6,57.2,36.4,45.3,22,0.0,7,1,0,0,0
8,4,150,0,0,0,0,0,114.7,27.1,35.3,43.7,22,0.0,7,1,0,0,0
8,5,90,0,0,0,0,0,115.3,27.1,34.9,43.5,22,0.0,7,1,0,0,0
8,6,113,0,0,0,0,0,110.8,27.1,34.9,47.8,22,0.0,7,1,0,0,0
8,7,98,0,0,0,0,0,116.2,26.8,34.7,43.2,22,0.0,7,1,0,0,0
8,8,94,0,0,0,0,0,114.5,26.7,34.8,44.8,22,0.0,7,1,0,0,0
8,9,157,0,1,0,0,0,107.7,27.1,34.8,,22,0.0,7,1,0,0,0
8,10,71,0,0,0,0,0,28.9,335.4,38.5,46.6,22,304.0,7,1,0,1,0
8,11,108,0,0,0,0,0,118.9,26.2,33.9,42.3,22,0.0,7,1,0,0,0
8,12,87,0,0,0,0,0,104.5,29.0,40.3,47.2,22,0.0,7,1,0,0,0
8,13,107,0,0,0,0,0,118.8,25.7,33.6,43.2,22,0.0,7,1,0,0,0
8,14,130,0,0,0,0,0,94.7,36.5,38.9,53.2,22,0.0,7,1,0,0,0
8,15,90,0,0,0,0,1,120.2,25.1,33.9,42.2,22,0.0,7,1,0,0,0
8,16,97,0,1,0,0,0,93.9,27.3,35.4,,22,0.0,7,1,0,0,0
8,17,83,0,0,0,0,0,36.6,246.8,38.6,46.8,22,218.2,7,1,0,1,0
8,18,87,1,0,1,1,0,121.5,24.8,32.6,42.7,22,0.0,7,1,0,0,0
8,19,83,0,0,0,0,0,99.9,34.1,37.2,50.5,22,0.0,7,1,0,0,0
9,1,162,0,0,0,0,0,75.6,65.3,41.0,54.6,7,31.4,5,1,0,1,0
9,2,94,0,0,0,0,0,97.7,28.0,37.4,59.0,7,0.0,5,1,0,0,0
9,3,90,0,0,0,0,0,94.6,45.0,35.5,48.2,7,0.0,5,1,0,0,0
9,4,102,0,0,0,0,0,114.6,27.5,34.8,43.9,7,0.0,5,1,0,0,0
9,5,125,0,0,0,0,0,115.4,26.8,35.0,43.6,7,0.0,5,1,0,0,0
9,6,121,0,0,0,0,0,115.9,26.9,34.6,43.5,7,0.0,5,1,0,0,0
9,7,75,0,0,0,0,0,103.2,28.7,38.1,51.2,7,0.0,5,1,0,0,0
9,8,94,0,0,0,0,0,111.8,26.1,34.2,48.6,7,0.0,5,1,0,0,0
9,9,74,0,0,0,0,0,106.1,26.1,33.9,54.7,7,0.0,5,1,0,0,0
9,10,87,0,0,0,0,0,118.7,25.9,33.7,42.9,7,0.0,5,1,0,0,0
9,11,89,0,1,0,0,0,110.9,26.0,34.3,49.4,7,0.0,5,1,0,0,0
9,12,93,0,0,0,0,0,18.6,567.7,37.2,48.5,7,537.7,5,1,0,1,0
9,13,189,0,0,0,0,0,121.3,25.3,33.1,41.9,7,0.0,5,1,0,0,0
9,14,105,0,1,0,0,0,86.2,27.0,34.7,,7,0.0,5,1,0,0,0
9,15,105,0,0,0,0,0,37.6,239.3,36.5,47.8,7,210.7,5,1,0,1,0
9,16,107,0,0,0,0,0,109.9,26.7,38.4,45.6,7,0.0,5,1,0,0,0
9,17,93,1,0,1,1,1,122.2,25.0,33.1,41.5,7,0.0,5,1,0,0,0
10,1,95,0,0,0,0,0,86.3,51.8,40.1,49.1,17,18.4,9,1,0,1,0
10,2,85,0,0,0,0,0,107.7,28.1,38.2,46.7,17,0.0,9,1,0,0,0
10,3,73,0,0,0,0,0,83.6,63.3,36.7,45.5,17,0.0,9,1,0,0,0
10,4,145,0,0,0,0,0,117.3,26.4,34.3,43.1,17,0.0,9,1,0,0,0
10,5,72,0,0,0,0,0,112.6,26.6,34.9,46.5,17,0.0,9,1,0,0,0
10,6,91,0,0,0,0,0,115.5,26.6,34.8,43.9,17,0.0,9,1,0,0,0
10,7,107,0,0,0,0,0,116.0,26.7,34.6,43.6,17,0.0,9,1,0,0,0
10,8,85,0,0,0,0,0,95.4,31.6,40.9,55.1,17,0.0,9,1,0,0,0
10,9,69,0,0,0,0,0,118.8,26.0,33.8,42.6,17,0.0,9,1,0,0,0
10,10,85,0,1,0,0,0,91.7,31.6,42.5,,17,0.0,9,1,0,0,0
10,11,89,0,0,0,0,0,24.3,413.8,39.9,47.1,17,378.2,9,1,0,1,0
10,12,94,0,0,0,0,0,107.3,28.0,38.8,46.7,17,0.0,9,1,0,0,0
10,13,83,0,0,0,0,1,122.1,25.1,32.8,41.8,17,0.0,9,1,0,0,0
10,14,98,0,0,0,0,0,108.8,28.0,37.5,46.4,17,0.0,9,1,0,0,0
10,15,111,0,1,0,0,0,93.2,25.9,33.5,,17,0.0,9,1,0,0,0
10,16,99,0,0,0,0,0,34.1,271.5,39.1,46.4,17,240.5,9,1,0,1,0
10,17,82,0,0,0,0,0,110.4,26.9,38.2,45.2,17,0.0,9,1,0,0,0
10,18,98,1,0,1,1,0,122.2,24.7,32.6,42.2,17,0.0,9,1,0,0,0
11,1,88,0,0,0,0,0,87.3,49.2,40.4,49.8,2,15.1,9,1,0,1,0
11,2,73,0,0,0,0,0,108.1,30.3,36.3,46.0,2,0.0,9,1,0,0,0
11,3,93,0,0,0,0,0,84.7,61.2,36.0,46.5,2,0.0,9,1,0,0,0
11,4,100,0,0,0,0,0,114.3,27.3,35.2,43.9,2,0.0,9,1,0,0,0
11,5,88,0,0,0,0,0,115.5,26.9,34.9,43.5,2,0.0,9,1,0,0,0
11,6,116,0,0,0,0,0,114.0,27.2,35.4,44.1,2,0.0,9,1,0,0,0
11,7,101,0,0,0,0,0,115.1,27.4,34.9,43.5,2,0.0,9,1,0,0,0
11,8,81,0,0,0,0,0,100.0,27.2,43.4,51.1,2,0.0,9,1,0,0,0
11,9,112,1,0,0,1,0,118.2,26.4,34.0,42.5,2,0.0,9,1,0,0,0
11,10,87,0,1,0,0,0,105.2,28.1,35.6,,2,0.0,9,1,0,0,0
11,13,110,0,0,0,0,0,71.4,86.4,37.5,46.6,2,57.2,9,1,0,1,0
11,14,83,0,0,0,0,0,102.2,28.8,40.7,49.5,2,0.0,9,1,0,0,0
11,15,69,0,0,1,0,1,103.4,25.1,50.8,41.9,2,0.0,9,1,0,0,0
12,1,81,0,0,0,0,0,79.1,48.0,40.4,65.5,21,12.4,3,1,0,1,0
12,2,97,0,0,0,0,0,104.5,28.0,35.8,52.6,21,0.0,3,1,0,0,0
12,3,84,0,0,0,0,0,89.5,54.0,35.6,46.4,21,0.0,3,1,0,0,0
12,4,96,0,0,0,0,0,93.2,26.9,34.6,69.0,21,0.0,3,1,0,0,0
12,5,103,0,0,0,0,0,115.2,26.9,34.8,43.9,21,0.0,3,1,0,0,0
12,6,105,0,0,0,0,0,114.4,26.5,35.0,44.9,21,0.0,3,1,0,0,0
12,7,83,0,0,0,0,0,118.0,26.1,33.8,43.2,21,0.0,3,1,0,0,0
12,8,130,0,0,0,0,0,83.2,32.3,48.1,65.8,21,0.0,3,1,0,0,0
12,9,117,0,0,0,0,0,102.0,37.2,35.3,46.7,21,0.0,3,1,0,0,0
12,10,89,0,1,0,0,0,107.2,27.1,34.8,,21,0.0,3,1,0,0,0
12,11,144,0,0,0,0,0,29.1,326.7,40.2,51.1,21,293.6,3,1,0,1,0
12,12,93,0,0,0,0,0,96.5,28.7,40.2,57.3,21,0.0,3,1,0,0,0
12,13,119,0,0,0,1,0,121.9,25.1,32.6,42.1,21,0.0,3,1,0,0,0
12,14,73,0,0,0,0,0,104.9,30.2,38.5,47.3,21,0.0,3,1,0,0,0
12,15,123,0,0,0,0,0,119.9,25.7,33.3,42.4,21,0.0,3,1,0,0,0
12,16,100,0,1,0,0,0,55.7,46.2,83.0,,21,0.0,3,1,0,0,0
12,17,107,0,0,0,0,0,55.4,125.9,46.2,47.6,21,91.8,3,1,0,1,0
12,18,97,0,0,0,0,0,107.1,30.6,37.7,45.3,21,0.0,3,1,0,0,0
12,19,73,1,0,2,0,1,122.1,24.7,32.9,42.0,21,0.0,3,1,0,0,0
13,1,73,0,0,0,0,0,79.7,60.4,41.6,50.8,6,26.2,1,1,0,1,0
13,2,110,0,0,0,0,0,104.1,27.9,36.5,52.5,6,0.0,1,1,0,0,0
13,3,133,0,0,0,0,0,83.1,55.1,36.7,54.5,6,0.0,1,1,0,0,0
13,4,92,0,0,0,0,0,115.0,27.0,34.9,43.9,6,0.0,1,1,0,0,0
13,5,122,0,0,0,0,0,116.3,26.5,34.4,43.7,6,0.0,1,1,0,0,0
13,6,87,0,0,0,0,0,101.7,31.5,36.7,51.4,6,0.0,1,1,0,0,0
13,8,79,0,0,0,0,0,117.7,26.3,34.0,43.1,6,0.0,1,1,0,0,0
13,9,87,0,0,0,0,0,102.6,30.0,40.2,48.4,6,0.0,1,1,0,0,0
13,10,71,0,0,0,0,0,118.8,26.0,33.8,42.6,6,0.0,1,1,0,0,0
13,11,98,0,1,0,0,0,107.0,27.9,35.1,,6,0.0,1,1,0,0,0
13,12,88,0,0,0,0,0,34.3,268.3,38.4,47.9,6,236.6,1,1,0,1,0
13,13,74,0,0,0,0,0,117.2,26.5,34.1,43.2,6,0.0,1,1,0,0,0
13,14,76,0,0,0,0,0,104.3,26.0,37.6,53.0,6,0.0,1,1,0,0,0
13,15,89,0,1,0,0,0,81.6,28.0,41.4,,6,0.0,1,1,0,0,0
13,16,114,0,0,0,0,0,34.4,266.6,37.2,49.8,6,237.5,1,1,0,1,0
13,18,122,0,0,0,0,0,103.7,29.2,42.2,45.9,6,0.0,1,1,0,0,0
14,1,93,0,0,0,0,0,58.3,122.0,40.0,46.8,10,86.7,1,1,0,1,0
14,2,87,0,0,0,0,0,79.5,27.8,48.6,76.6,10,0.0,1,1,0,0,0
14,3,93,0,0,0,0,0,115.4,26.9,34.8,43.8,10,0.0,1,1,0,0,0
14,4,87,0,0,0,0,0,116.9,26.4,34.0,43.7,10,0.0,1,1,0,0,0
14,5,83,0,0,0,0,0,116.8,26.4,34.4,43.3,10,0.0,1,1,0,0,0
14,6,113,0,1,0,0,0,109.9,26.4,34.4,49.9,10,0.0,1,1,0,0,0
14,7,105,0,0,0,0,0,21.9,476.0,35.5,44.2,10,447.9,1,1,0,1,0
14,8,117,0,0,0,0,0,117.0,26.7,34.2,43.1,10,0.0,1,1,0,0,0
14,9,129,0,0,0,0,0,98.4,26.4,40.5,56.9,10,0.0,1,1,0,0,0
14,10,71,0,1,0,0,0,114.6,26.0,33.7,46.5,10,0.0,1,1,0,0,0
14,11,83,0,1,0,0,0,21.9,417.7,49.2,88.9,10,388.6,1,1,0,1,0
14,12,70,0,0,0,0,0,47.5,166.2,38.8,51.1,10,138.7,1,1,0,1,0
14,13,83,1,0,0,1,1,121.8,25.3,33.0,41.7,10,0.0,1,1,0,0,0
14,14,96,0,0,0,0,0,114.1,26.8,36.8,43.1,10,0.0,1,1,0,0,0
14,15,88,0,0,1,0,0,116.2,25.1,37.5,42.1,10,0.0,1,1,0,0,0
15,1,72,0,0,0,0,0,74.4,70.2,40.0,53.2,18,36.4,6,1,0,1,0
