ID,RI,QA-check,Color-check,Purity-Level,Depth-percentage,Width-of-iron-top-width,Axis-x,Axis-y,Axis-z,Price-in-dollars
uid_15483,0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,576
uid_52618,1.1,Ideal,F,VS2,60.0,57.0,6.76,6.71,4.04,6166
uid_20581,-1.8432753276460785,Premium,E,VVS2,62.3,56.0,4.34,4.3,2.69,1107
uid_45339,0.7,Very Good,H,SI2,63.3,56.0,5.64,5.68,3.58,1890
uid_15764,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,6149
uid_20763,1.01,Good,G,,63.7,58.0,6.35,6.31,4.03,3923
uid_12086,0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7,742
uid_7319,1.51,Ideal,E,VS1,61.5,57.0,7.34,7.4,,18729
uid_32335,0.3,Very Good,G,VVS2,61.6,60.0,4.24,4.27,2.62,684
uid_8066,-1.430639771872976,Premium,E,,61.9,58.0,5.39,5.43,,1738
uid_14050,0.23,Good,E,VVS1,64.4,57.0,3.87,3.9,2.5,472
uid_51581,1.53,Very Good,G,VS1,61.9,57.0,7.39,7.32,4.55,16219
uid_38295,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,838
uid_5193,0.3,Ideal,G,VS2,61.6,58.0,4.27,4.3,,545
uid_48995,1.51,Very Good,E,,62.9,62.0,7.21,7.31,4.57,9474
uid_3829,1.26,Ideal,H,VS1,60.9,57.0,6.97,6.99,,8238
uid_11566,-1.2335915250548786,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,15680
uid_10910,1.5,Premium,F,SI1,61.9,60.0,7.26,7.21,4.48,10940
uid_12925,1.0,Very Good,E,,63.3,57.0,6.3,6.36,4.01,5051
uid_44384,0.72,Ideal,E,VS2,60.8,57.0,5.79,5.82,3.53,3091
uid_13443,0.33,Ideal,E,VS2,59.3,58.0,4.53,4.51,2.68,681
uid_377,1.0,Good,H,SI1,57.5,62.0,6.51,6.47,3.73,4788
uid_19347,0.52,Ideal,G,VS2,61.7,56.0,5.15,5.19,3.19,1428
uid_14741,2.01,Very Good,J,SI2,61.0,57.0,8.09,,4.95,11110
uid_35426,1.51,Premium,J,SI1,61.2,62.0,,7.32,4.49,6976
uid_16702,2.01,Very Good,I,,64.4,56.0,7.84,7.9,5.07,16811
uid_1960,1.62,Ideal,F,,62.7,56.0,7.44,,4.68,12712
uid_1461,0.9,Very Good,J,SI1,63.6,57.0,6.07,6.1,3.87,3225
uid_963,0.24,Ideal,F,VS1,62.0,56.0,3.99,3.94,2.46,536
uid_25026,1.28,Very Good,F,SI2,62.5,55.0,6.91,7.0,,5223
uid_23317,1.24,Ideal,H,VS1,61.6,56.0,6.95,6.87,,7743
uid_46549,1.73,Ideal,J,SI1,62.6,57.0,7.69,7.65,4.8,6927
uid_35249,0.52,Ideal,D,VS2,62.3,56.0,,5.11,3.2,1919
uid_41641,0.9,Very Good,E,VS2,61.1,63.0,6.17,6.2,,4134
uid_25273,0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,3358
uid_14232,0.7,Premium,J,IF,60.5,59.0,5.67,5.73,,2150
uid_26975,0.46,Ideal,I,VS1,62.0,54.0,4.97,4.99,3.09,997
uid_38096,0.42,Ideal,G,VVS2,62.6,55.0,4.78,4.77,2.99,1103
uid_52223,1.31,Ideal,F,SI2,62.7,57.0,7.05,6.98,4.4,6676
uid_39108,0.92,Premium,D,I1,63.0,58.0,6.18,,3.88,2698
uid_11660,1.01,Premium,E,VS2,60.8,60.0,6.46,6.43,3.92,6606
uid_6702,1.11,Premium,E,SI2,62.5,58.0,6.63,6.61,4.14,4664
uid_4765,0.34,Very Good,H,VS2,63.2,55.0,4.5,4.46,2.83,689
uid_45852,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,,1220
uid_37266,0.43,Premium,I,,59.8,59.0,4.94,4.9,,726
uid_46777,1.53,Ideal,G,VVS2,61.4,59.0,7.4,7.42,4.55,15275
uid_7680,0.31,Premium,G,,61.5,59.0,4.35,,2.67,698
uid_33859,0.52,Very Good,G,SI1,59.6,62.0,5.18,5.23,3.1,1244
uid_1440,0.4,Ideal,E,VVS2,61.7,56.0,4.73,,2.93,1158
uid_39860,0.37,Very Good,F,SI2,60.7,57.0,4.62,4.67,2.82,487
uid_42606,0.61,Premium,D,,62.3,55.0,5.47,5.42,3.39,2251
uid_42804,0.42,Premium,G,VS2,62.6,57.0,4.8,4.76,,1087
uid_47424,0.3,Very Good,E,SI2,63.5,55.0,4.3,4.27,2.72,540
uid_1474,0.65,Ideal,E,VVS2,62.1,57.0,5.55,5.6,3.46,3023
uid_15893,1.56,Ideal,G,VS2,62.2,54.0,0.0,0.0,0.0,12800
uid_9603,0.31,Very Good,G,SI2,61.7,55.0,,4.4,2.71,433
uid_36496,1.41,Good,H,VS2,63.8,60.0,7.12,7.04,4.52,9254
uid_30936,0.51,Premium,F,SI2,58.9,60.0,5.24,5.19,3.07,1195
uid_8009,1.77,Premium,J,VS2,59.6,58.0,7.94,7.86,4.71,9428
uid_41522,1.04,Ideal,E,VVS2,62.0,58.0,6.54,6.46,4.03,9552
uid_7405,1.54,Ideal,F,VS1,60.3,57.0,,7.56,4.54,18416
uid_21869,0.42,Very Good,H,VVS1,62.2,56.0,4.78,4.81,2.98,1193
uid_39791,0.82,Premium,I,VS1,61.9,58.0,5.99,5.97,3.7,2853
uid_30569,0.72,Fair,H,VVS2,56.5,68.0,6.03,5.89,3.37,2608
uid_50791,1.21,Premium,G,SI1,59.5,62.0,6.65,6.57,3.84,5556
uid_15154,0.41,Ideal,F,VS2,60.0,56.0,4.82,,2.91,863
uid_25438,0.7,Very Good,F,SI1,60.5,56.0,5.73,5.8,3.49,2155
uid_32574,1.05,Ideal,F,VVS2,61.6,56.0,6.55,6.53,,9483
uid_7386,0.43,Ideal,G,VVS2,61.9,55.0,4.84,4.86,,1056
uid_4688,1.04,Premium,D,,61.1,60.0,6.51,,3.97,7852
uid_39135,0.57,Ideal,G,VS1,62.1,56.0,5.31,,3.3,1868
uid_19583,1.0,Very Good,G,SI1,59.6,60.0,6.43,6.49,3.85,4997
uid_24184,0.82,Very Good,G,,63.3,56.0,5.96,5.98,3.78,3460
uid_1609,0.32,Premium,E,VVS2,61.5,58.0,4.42,4.36,2.7,-11501
uid_49819,0.33,Ideal,D,SI2,62.9,56.0,4.43,4.41,2.78,631
uid_144,1.08,Ideal,D,SI1,61.3,56.0,6.63,6.72,4.09,6203
uid_12658,1.19,Premium,H,VS1,61.9,59.0,6.83,6.75,4.2,7864
uid_23642,1.23,Premium,I,SI1,62.0,57.0,6.91,6.83,,-8145
uid_17797,2.02,Ideal,H,VS2,62.6,57.0,,7.97,,14182
uid_39200,0.7,Fair,I,,65.2,58.0,5.6,5.56,3.64,1749
uid_43446,2.6192510655008965,Very Good,D,SI2,62.9,54.0,5.13,5.17,3.24,1314
uid_7317,1.5,Very Good,H,SI1,62.9,56.0,7.24,7.33,4.58,8058
uid_25480,0.52,Ideal,G,,61.8,55.0,5.17,5.21,3.21,1689
uid_88,0.35,Fair,E,VVS2,66.2,61.0,,,2.9,738
uid_4647,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,-10846
uid_10680,0.5,Ideal,E,VVS2,62.4,54.0,5.11,5.09,3.18,2346
uid_11998,2.2405272024804104,Premium,I,VVS1,60.5,59.0,4.48,4.54,,626
uid_24987,0.71,Ideal,F,VS2,61.5,55.0,5.74,5.77,3.54,-9534
uid_6532,0.4,Ideal,E,VS2,60.9,56.0,,4.81,2.92,904
uid_43433,2.2043987005664887,Good,E,VS2,58.3,61.0,5.26,5.31,3.08,1673
uid_10294,0.4,Very Good,D,VS2,62.3,58.0,,4.72,2.93,746
uid_27828,0.31,Good,E,SI1,63.3,55.0,4.33,4.36,2.75,544
uid_6700,1.01,Good,F,,65.7,58.0,6.12,6.2,,4049
uid_7730,0.3,Ideal,H,VVS1,62.5,53.8,4.31,4.33,,639
uid_53546,0.91,Premium,G,SI1,62.2,59.0,,,3.84,3975
uid_16747,0.7,Ideal,H,,61.9,57.0,5.66,5.69,3.51,2107
uid_11589,0.56,Very Good,H,,63.2,57.0,5.27,5.23,3.32,1286
uid_20573,0.42,Premium,F,VVS2,60.3,59.0,4.83,4.86,2.92,1142
uid_45983,0.7,Ideal,I,VS2,62.1,54.6,5.68,5.72,3.54,2240
uid_36767,0.77,Ideal,H,VS2,60.6,57.0,5.93,5.89,3.58,2479
uid_47364,1.02,Premium,H,SI2,60.9,59.0,6.51,6.46,3.95,4284
uid_44249,0.44,Good,D,VS2,60.6,64.0,,4.89,2.99,-12203
uid_48705,1.03,Ideal,G,SI1,60.9,57.0,6.54,6.5,3.97,5037
uid_1757,2.08,Very Good,J,SI1,62.6,58.0,8.09,8.15,5.08,12637
uid_36758,0.72,Very Good,H,SI2,63.5,55.0,5.66,5.62,3.58,1799
uid_7408,0.41,Ideal,E,SI2,59.8,55.0,4.81,4.93,2.91,683
uid_52170,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2501
uid_20198,1.9446789443882484,Good,J,SI1,64.0,55.0,4.28,4.25,2.73,439
uid_1454,1.5,Premium,H,SI1,62.7,58.0,7.27,7.34,4.58,9768
uid_50056,1.09,Ideal,G,VS2,61.2,56.0,6.62,6.64,,7357
uid_48644,0.34,Premium,G,VS2,61.8,58.0,4.47,4.5,2.77,-13783
uid_26939,3.01,Ideal,J,SI2,61.7,58.0,9.25,,5.69,16037
uid_4350,0.31,Ideal,F,VVS2,61.3,56.0,4.38,4.39,2.69,695
uid_51707,0.3,Ideal,H,,62.4,53.0,4.28,4.31,2.68,684
uid_18383,-1.540845849091261,Premium,H,,60.4,58.0,5.21,5.19,3.14,-11619
uid_44001,0.48,Ideal,I,SI1,62.5,54.0,5.04,5.07,3.16,841
uid_2293,0.54,Ideal,I,VVS2,61.7,54.0,5.25,,3.25,1346
uid_23525,0.3,Ideal,E,VVS1,61.5,58.0,4.28,4.31,2.64,838
uid_23463,0.58,Ideal,E,,62.0,57.0,5.33,5.35,3.31,1752
uid_24204,2.1,Premium,H,SI2,60.4,59.0,8.28,8.33,5.02,16479
uid_41069,0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62,2868
uid_12582,0.31,Premium,F,VS2,62.0,60.0,4.3,4.34,2.68,625
uid_37646,1.2,Premium,F,VS1,61.6,61.0,6.86,,4.21,9370
uid_3895,0.34,Premium,D,SI1,62.7,59.0,4.42,4.45,2.78,626
uid_45228,0.51,Ideal,F,IF,62.5,54.0,5.12,5.16,3.21,2730
uid_51757,1.62,Premium,D,SI2,61.2,61.0,,7.53,4.63,9199
uid_194,1.02,Ideal,G,VS1,62.2,57.0,6.43,6.47,4.01,6563
uid_30670,1.19,Premium,I,SI1,61.3,59.0,6.84,6.79,4.18,5464
uid_27357,0.71,Premium,H,VVS2,61.5,62.0,5.74,5.68,3.51,2863
uid_47816,0.39,Very Good,E,VS2,63.1,56.0,4.69,4.63,2.94,1065
uid_28109,0.41,Premium,G,VS2,61.5,58.0,4.8,4.82,2.96,827
uid_33036,1.17,Ideal,H,SI1,61.1,57.0,6.77,6.83,4.16,6368
uid_45918,0.91,Very Good,D,SI2,61.5,56.0,6.22,6.27,3.84,4123
uid_42401,0.31,Premium,E,VS1,60.0,59.0,,4.42,2.64,734
uid_12642,0.42,Ideal,D,SI2,62.0,54.0,4.8,4.85,2.99,-12110
uid_11535,1.52,Very Good,G,VVS2,62.9,59.0,7.25,7.29,4.57,15265
uid_45565,0.57,Ideal,I,SI1,62.5,55.0,5.28,5.32,3.31,1173
uid_45324,1.51,Premium,G,,62.6,60.0,7.28,7.19,4.53,14507
uid_1991,0.3,Ideal,H,SI1,62.1,55.0,4.3,4.33,2.68,450
uid_29019,1.03,Ideal,D,VS1,61.8,56.0,6.46,6.54,4.02,8612
uid_26304,1.55,Ideal,F,SI1,61.9,55.0,7.47,7.42,4.61,14220
uid_18898,0.9,Premium,G,VS2,61.8,60.0,6.16,6.21,3.82,4386
uid_29051,1.21,Premium,F,VS1,61.3,57.0,6.9,6.86,4.22,8879
uid_6088,1.03,Good,I,I1,57.9,59.0,6.67,6.62,3.85,2540
uid_21083,0.8,Premium,F,VS2,62.1,60.0,5.92,5.86,3.66,3502
uid_28298,1.24,Premium,G,VVS2,59.9,60.0,6.98,7.0,4.19,10202
uid_5914,0.3,Ideal,G,VS1,60.4,55.0,4.38,,2.66,637
uid_27974,1.52,Good,H,SI1,63.8,60.0,7.24,7.3,4.64,9898
uid_11699,0.9,Premium,I,SI2,62.5,58.0,6.15,6.1,3.83,2948
uid_39222,1.01,Premium,F,SI2,61.1,57.0,6.48,6.44,3.95,3903
uid_7140,2.09,Ideal,I,SI2,61.2,57.0,8.27,8.19,5.04,13933
uid_41488,2.839647654243967,Ideal,F,VS1,61.5,56.0,6.5,,3.99,8061
uid_53714,0.8,Very Good,H,SI1,63.0,57.0,5.89,5.95,3.73,15774
uid_12655,0.33,Ideal,H,,61.6,55.0,4.46,4.48,2.75,-13295
uid_13877,0.4,Ideal,E,VS1,62.3,56.0,4.71,4.73,,1053
uid_50280,0.71,Very Good,F,VVS2,62.0,56.0,5.71,5.74,3.55,3612
uid_39368,0.77,Ideal,D,SI2,62.3,55.0,5.9,5.85,3.66,3011
uid_26858,0.32,Premium,H,VS1,62.8,58.0,4.37,4.35,2.74,720
uid_51165,2.53,Premium,H,SI2,62.6,60.0,8.66,8.55,,14659
uid_45580,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,,4191
uid_13323,1.38,Premium,G,SI2,59.2,59.0,7.35,7.29,4.33,6779
uid_38849,1.5,Good,H,VS2,64.0,58.0,7.14,7.17,4.58,9620
uid_30230,0.91,Very Good,D,SI1,62.0,59.0,6.19,6.16,3.83,5342
uid_6764,0.91,Very Good,E,SI2,62.4,58.0,,6.14,3.82,3936
uid_36823,1.0,Very Good,H,SI2,63.7,58.0,6.31,6.35,4.03,4395
uid_18163,1.04,Ideal,F,IF,61.8,55.0,6.56,6.49,4.03,10984
uid_40280,0.9,Good,I,VS2,63.8,55.0,6.16,6.07,3.9,3246
uid_37906,1.01,Very Good,F,VS2,62.1,57.0,6.38,6.43,,7098
uid_19901,0.51,Very Good,E,VS2,63.5,57.0,5.09,5.05,,1638
uid_34059,1.5,Very Good,J,VVS2,62.2,57.0,7.25,7.31,4.53,9306
uid_28791,0.5,Premium,D,SI2,62.9,58.0,5.06,5.01,3.17,997
uid_42512,0.34,Very Good,G,SI1,60.8,59.0,4.46,4.56,2.74,507
uid_28634,0.42,Ideal,G,SI1,61.6,56.0,4.81,4.84,2.97,896
uid_9025,0.91,Very Good,F,VVS2,62.6,59.0,6.1,6.16,3.84,5733
uid_10848,1.71,Premium,G,SI1,60.6,58.0,7.79,7.75,4.71,13666
uid_10859,1.0,Very Good,F,VS2,61.1,60.0,6.4,6.46,3.93,7343
uid_34928,0.37,Ideal,D,SI1,61.5,57.0,4.63,,2.84,874
uid_26737,1.09,Premium,G,SI1,62.5,59.0,6.56,6.53,4.09,4322
uid_29339,0.39,Premium,G,VS1,62.6,58.0,4.66,4.7,2.93,14568
uid_2542,1.02,Ideal,F,VS2,61.0,56.0,6.55,6.62,4.02,6393
uid_1506,0.34,Ideal,H,VS2,62.6,54.0,4.5,4.45,2.8,689
uid_34988,0.91,Very Good,F,SI2,63.3,54.0,6.22,6.14,3.91,3746
uid_929,0.3,Ideal,D,VS2,62.2,55.0,4.33,4.29,2.68,911
uid_48456,0.9,Fair,E,SI2,65.0,58.0,6.08,6.04,3.94,2930
uid_33682,0.46,Good,F,VS1,59.2,63.0,5.0,5.03,,-13543
uid_31850,0.41,Good,I,SI2,63.5,57.0,4.7,4.72,2.99,539
uid_31731,0.55,Ideal,G,VVS2,60.8,56.9,5.27,5.31,3.22,2064
uid_39477,1.62,Ideal,I,VS2,62.4,57.0,7.45,7.51,4.67,9604
uid_28100,1.1,Good,I,,63.7,60.0,,6.45,4.16,4967
uid_29407,2.050296154954161,Good,D,SI1,63.3,57.0,4.37,4.38,2.77,589
uid_44807,0.4,Premium,D,VS2,62.5,59.0,4.72,4.66,2.93,1050
uid_10224,0.53,Ideal,E,VS2,61.9,55.0,5.22,5.19,3.22,1813
uid_36190,0.31,Ideal,H,IF,61.8,57.0,4.32,4.35,2.68,789
uid_14535,0.79,Premium,H,VS2,62.6,61.0,5.9,5.86,,2726
uid_27524,1.01,Ideal,G,VS1,62.0,57.0,6.44,6.36,3.97,6504
uid_883,2.27,Ideal,G,SI1,61.1,60.0,8.46,8.42,5.16,18343
uid_25974,0.8,Ideal,H,SI2,62.4,57.0,5.91,5.83,3.66,2122
uid_33823,0.63,Very Good,G,VS1,59.9,57.0,5.57,5.62,3.35,16365
uid_27486,0.42,Ideal,I,VVS1,62.0,55.0,4.8,4.88,3.0,884
uid_40742,0.3,Fair,G,VVS1,58.6,66.0,4.36,4.41,2.57,790
uid_17554,0.9,Very Good,D,SI1,63.5,57.0,6.15,6.11,3.89,4304
uid_18530,0.72,Ideal,E,VS2,61.3,57.0,5.76,5.79,3.54,3223
uid_29120,0.34,Very Good,E,SI1,59.0,60.0,4.56,4.62,2.71,596
uid_10632,1.7,Premium,J,VS2,62.9,62.0,7.47,7.38,4.67,9225
uid_51793,1.71,Very Good,D,SI2,63.5,56.0,7.58,7.51,4.79,11844
uid_3168,0.75,Ideal,E,SI1,62.1,55.0,,5.85,3.62,3170
uid_3280,1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,6968
uid_6535,0.36,Ideal,G,IF,61.7,56.0,4.57,4.6,2.83,13688
uid_1682,1.06,Ideal,F,SI1,62.1,57.0,6.53,6.51,4.05,5758
uid_44012,0.71,Very Good,E,VS2,59.6,60.0,5.8,5.85,3.47,2954
uid_30181,2.2008522437707683,Ideal,F,VVS2,61.9,55.0,5.72,5.68,3.53,2701
uid_14200,1.52,Ideal,F,SI1,62.2,56.0,7.38,7.41,4.6,11637
uid_34911,0.4,Ideal,I,IF,62.4,56.0,4.73,4.7,2.94,1050
uid_12940,0.31,Ideal,D,,61.9,57.0,4.36,,2.71,548
uid_9359,0.9,Fair,F,SI1,66.0,57.0,,6.0,3.98,3160
uid_34894,0.51,Ideal,F,VS2,62.9,55.0,5.12,5.08,3.21,1687
uid_732,0.41,Very Good,G,VS2,59.9,59.0,4.82,4.86,2.9,827
uid_14739,0.52,Very Good,G,VVS1,59.2,58.0,5.28,5.31,3.14,2045
uid_41942,0.3,Ideal,G,VVS1,62.7,54.0,4.3,4.34,2.71,764
uid_44776,3.788710853572782,Premium,F,VS2,61.2,58.0,7.76,7.69,4.73,16975
uid_50595,0.71,Fair,D,VS2,64.4,56.0,5.63,5.58,3.61,2596
uid_42515,0.43,Ideal,I,VS2,61.9,54.0,4.87,4.88,3.02,716
uid_34060,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
uid_24066,0.77,Ideal,F,VS1,62.5,57.0,5.88,5.9,3.68,3357
uid_40726,0.41,Premium,D,SI2,62.4,60.0,4.71,4.77,,683
uid_13138,-1.475545285585079,Very Good,G,VS2,62.0,57.0,5.04,5.12,3.15,1351
uid_14498,0.4,Ideal,D,VS1,60.6,56.0,4.82,4.78,2.91,1072
uid_13200,0.32,Premium,I,VVS2,60.7,59.0,4.4,4.43,2.68,561
uid_38922,1.12,Premium,H,VS1,59.6,57.0,6.82,6.77,4.05,5055
uid_30867,0.23,Very Good,E,VS2,63.8,55.0,,3.92,2.48,352
uid_16420,1.22,Premium,G,SI1,61.2,60.0,6.82,6.75,4.15,6449
uid_31052,1.06,Very Good,I,SI1,60.4,59.0,6.56,6.61,3.98,4267
uid_8968,0.31,Good,E,SI1,63.7,57.0,4.29,4.31,2.74,544
uid_44116,2.7838029190453524,Premium,G,SI2,61.2,58.0,6.5,6.57,4.0,4200
uid_39723,0.41,Very Good,F,SI1,63.3,57.0,4.72,4.69,2.98,14331
uid_4910,0.25,Very Good,F,VVS2,61.8,58.0,4.05,4.07,2.51,575
uid_23962,-0.3537311984244025,Very Good,E,SI2,62.3,58.0,6.64,6.68,4.15,4307
uid_12251,0.92,Ideal,E,SI2,62.2,56.0,6.2,6.24,3.87,4011
uid_33002,0.4,Ideal,E,VVS2,62.3,54.0,4.74,4.76,2.96,1090
uid_27848,0.33,Very Good,G,VS1,63.1,57.0,4.4,4.38,2.77,854
uid_4346,2.0060430806463114,Ideal,D,VS2,62.3,56.0,4.27,4.3,2.67,710
uid_53635,1.54,Ideal,J,,62.0,53.0,7.41,7.49,,8207
uid_21404,0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,1724
uid_34272,2.0764393420040976,Ideal,G,VVS1,60.8,56.0,4.44,4.37,2.68,1080
uid_31893,1.02,Very Good,F,VVS1,62.4,58.0,,6.41,3.99,8990
uid_43889,1.51,Fair,I,SI2,66.0,57.0,7.14,7.0,4.7,6156
uid_2443,0.75,Premium,G,SI1,59.4,62.0,5.95,5.91,3.52,14624
uid_26381,1.53,Ideal,F,SI1,62.6,55.0,7.39,7.37,4.62,12415
uid_3572,1.1,Premium,G,VS1,62.2,59.0,6.61,6.57,,5958
uid_872,0.41,Good,D,VVS2,63.3,59.0,4.71,4.73,,949
uid_14466,0.3,Ideal,D,SI1,61.0,56.0,4.33,4.3,2.63,709
uid_12996,1.02,Very Good,H,SI1,63.5,55.0,,6.35,4.02,4487
uid_40222,0.33,Ideal,G,VS2,62.3,57.0,4.4,4.43,2.75,579
uid_12764,1.01,Ideal,F,SI2,60.4,59.0,6.48,6.51,3.92,18914
uid_38066,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,758
uid_22767,1.21,Premium,H,,59.5,58.0,7.02,6.96,4.16,6025
uid_3237,0.66,Good,F,VS2,61.5,60.8,5.55,5.6,3.43,2275
uid_21125,4.206389909691115,Very Good,I,VS1,62.9,59.0,7.94,8.03,5.02,18041
uid_48629,0.4,Premium,G,VVS2,62.7,59.0,4.72,,,1050
uid_1779,1.03,Premium,E,SI1,59.5,60.0,6.64,6.56,,6091
uid_26063,0.41,Premium,D,SI1,61.4,58.0,4.78,4.76,2.93,1015
uid_1935,0.31,Premium,E,VVS2,60.4,59.0,4.34,4.37,2.63,816
uid_27732,0.7,Very Good,E,VS1,60.7,57.0,5.72,5.75,3.48,3358
uid_3988,-0.8927931674094927,Premium,G,VVS2,60.3,58.0,5.82,5.78,3.5,2839
uid_29172,1.18,Premium,I,VS1,62.1,58.0,6.76,6.7,4.18,5921
uid_51623,1.51,Good,H,,63.5,60.0,7.24,,4.61,10628
uid_25772,0.31,Ideal,D,VS2,62.1,55.0,4.32,4.35,2.69,13515
uid_52619,2.33,Very Good,J,VS2,61.8,59.0,8.41,8.56,5.24,14801
uid_5805,0.51,Good,E,,64.3,55.0,5.12,5.05,3.27,-11790
uid_49548,3.1785585160288736,Premium,I,VS2,62.4,58.0,6.69,6.65,4.16,5016
uid_12840,0.31,Ideal,D,SI1,62.6,56.0,4.36,4.33,2.72,732
uid_11813,0.5,Ideal,E,VS2,62.9,54.0,5.14,5.1,3.22,1629
uid_24375,0.3,Premium,G,VVS2,62.0,60.0,4.25,,2.66,684
uid_5359,0.8,Very Good,J,SI1,61.6,56.0,5.94,5.98,3.67,2224
uid_52067,0.42,Ideal,E,SI1,62.6,57.0,4.84,4.81,3.02,992
uid_245,0.91,Premium,G,SI2,61.3,60.0,6.2,6.17,3.79,3363
uid_18332,0.71,Premium,H,VS2,62.1,58.5,5.68,5.73,3.55,2549
uid_12401,1.7790736553700006,Ideal,D,SI1,62.6,57.0,4.33,,2.7,732
uid_23916,2.7258039708178683,Ideal,G,VS2,60.5,57.0,,6.55,,6356
uid_35918,1.61,Good,H,SI2,63.8,62.0,7.38,7.35,4.7,9169
uid_22134,2.29,Premium,G,,62.4,60.0,8.41,8.36,5.23,15366
uid_4823,1.08,Premium,H,I1,61.7,59.0,6.54,6.59,4.05,3118
uid_26394,0.8,Ideal,I,VS1,62.6,54.0,5.92,5.96,3.72,2842
uid_7069,0.71,Ideal,J,SI1,60.7,61.0,5.72,5.77,3.49,2001
uid_35816,0.56,Ideal,G,SI1,62.5,56.0,5.21,5.28,3.28,1340
uid_20839,1.52,Ideal,H,VS2,62.4,58.0,7.3,7.37,4.58,11272
uid_27678,1.0,Premium,G,VS2,63.0,58.0,6.4,6.33,4.01,6048
uid_44208,1.0,Good,E,VS2,60.6,65.0,6.29,6.36,3.83,6445
