index,edible-poisonous,cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season,fold
32,0,9.81,0,7,0,2,5,6.49,18.89,5,0,0,0,2,3
35,1,7.88,0,8,1,1,8,5.68,15.54,1,0,0,0,2,0
36,0,7.27,0,9,1,6,3,5.5,11.75,9,0,0,0,0,3
37,1,5.45,3,2,0,5,3,5.1,9.0,1,0,0,0,3,3
38,1,3.33,0,5,0,5,4,4.41,2.45,5,0,0,2,2,3
39,0,4.44,1,1,0,0,0,5.78,20.41,1,0,0,0,1,2
40,0,3.61,0,6,0,3,6,4.11,6.28,6,0,0,2,0,0
41,1,9.63,3,1,1,5,1,6.13,15.65,1,0,0,0,0,0
42,1,12.08,0,2,0,1,4,6.55,16.83,1,0,0,0,0,2
44,1,7.73,5,3,0,2,3,6.42,14.65,3,0,0,0,0,1
45,0,8.68,3,5,0,1,5,7.14,34.6,5,0,0,4,2,3
46,0,6.61,3,1,0,1,5,5.91,9.75,1,0,0,4,0,3
48,1,3.59,1,5,0,0,0,4.89,29.12,5,1,0,0,0,4
49,0,12.86,5,5,1,5,3,6.83,25.68,5,0,0,0,2,0
50,1,10.56,5,2,1,5,1,4.92,24.05,1,0,0,2,0,4
52,0,2.27,5,1,0,0,0,6.03,6.24,3,0,0,0,0,2
53,1,3.23,0,1,0,1,4,5.51,9.75,5,1,3,0,2,1
55,0,11.2,0,1,1,6,3,8.44,22.98,1,0,0,0,0,2
56,0,3.46,4,5,0,2,5,4.95,3.34,3,0,0,2,2,4
57,0,3.97,4,5,0,2,5,4.64,3.08,3,0,0,2,0,1
58,1,10.38,5,6,1,5,6,5.77,13.84,5,1,0,0,2,0
60,1,2.73,1,2,0,0,0,0.0,0.0,0,0,0,0,0,4
62,0,9.89,5,5,1,5,6,5.77,16.53,5,0,0,0,0,4
63,0,5.05,0,3,0,4,5,5.81,11.16,3,1,4,0,0,1
64,0,6.78,0,5,0,4,5,6.28,13.37,3,1,4,0,2,2
67,0,6.26,0,1,0,4,5,5.16,10.52,1,0,0,0,2,3
68,1,2.51,3,5,0,5,5,2.61,6.32,5,0,0,2,0,2
69,0,7.17,0,2,1,6,2,11.72,24.14,5,0,0,0,2,2
71,0,4.98,0,1,0,1,3,3.82,7.28,5,0,0,0,0,1
72,1,2.77,1,2,0,0,0,3.59,14.36,1,0,0,0,0,1
73,1,6.53,0,3,0,3,1,7.89,8.52,1,1,3,2,2,1
74,1,4.71,0,1,0,3,1,4.14,5.29,1,1,3,0,3,2
75,1,12.38,3,2,0,4,5,10.92,15.66,5,1,4,0,0,3
76,1,4.76,2,3,1,2,8,4.71,11.73,5,0,0,2,1,0
77,0,1.75,0,3,0,3,3,2.17,6.4,5,0,0,0,0,3
78,1,3.91,1,2,0,0,0,0.0,0.0,0,1,0,0,2,1
79,0,4.05,3,4,1,5,4,4.84,6.02,2,0,0,0,2,1
80,1,6.35,0,2,0,5,3,6.42,11.44,1,0,0,0,0,0
81,1,6.34,0,1,0,5,3,5.37,9.52,1,0,0,0,0,3
82,1,9.12,0,1,0,2,5,10.29,11.72,5,0,0,0,2,2
84,1,5.25,0,3,0,3,3,6.2,7.77,6,0,0,2,0,3
85,0,6.85,4,11,0,1,5,6.18,11.06,2,0,0,0,2,2
86,0,11.37,5,6,1,5,6,6.37,18.54,5,0,0,0,2,4
87,1,4.94,0,8,0,1,12,5.63,7.32,5,1,6,2,2,1
89,0,8.6,3,12,0,1,12,7.69,19.5,12,0,0,0,0,0
90,0,3.02,5,3,0,0,0,6.65,7.9,6,0,0,0,0,3
91,1,3.91,2,3,1,2,8,4.69,11.52,5,0,0,0,1,2
93,1,4.52,3,3,0,2,1,6.57,5.18,3,0,0,0,2,0
94,1,3.17,1,2,0,0,0,0.0,0.0,0,0,0,0,3,0
95,1,2.65,3,12,0,3,1,3.46,3.46,5,0,0,5,0,4
96,1,8.39,3,4,0,1,4,4.78,10.51,4,0,0,0,0,2
99,0,10.32,5,5,1,5,4,4.64,24.84,5,0,0,0,0,4
100,0,16.17,3,1,1,4,2,9.97,17.62,5,1,2,4,0,2
102,1,1.89,3,7,0,3,5,3.61,2.4,5,0,0,2,2,0
103,0,7.5,0,2,0,3,1,6.3,5.97,2,1,2,0,3,3
104,0,4.31,3,1,0,3,3,6.91,4.94,6,0,0,0,3,1
106,0,11.05,5,6,1,5,6,6.48,17.32,5,0,0,0,0,0
109,0,1.46,2,1,0,3,2,5.05,1.43,2,0,0,0,0,1
110,0,1.17,2,1,0,3,2,4.86,1.4,2,0,0,1,0,2
111,1,4.46,4,1,0,2,4,6.36,6.2,2,0,0,0,0,3
112,1,18.95,0,6,0,6,3,4.69,38.35,1,0,0,0,3,3
113,1,2.89,5,5,0,3,5,3.87,2.48,5,0,0,2,0,2
115,1,2.93,1,2,0,0,0,0.0,0.0,0,0,0,0,0,1
116,0,3.45,3,4,1,5,4,4.94,6.37,1,0,0,0,0,3
117,1,8.02,5,4,1,5,4,8.05,14.36,4,1,0,0,2,1
118,1,2.77,0,5,0,3,5,2.68,2.23,5,0,0,2,2,2
119,0,4.26,0,6,0,6,1,4.85,10.12,1,0,0,0,2,3
120,1,2.53,0,9,0,3,4,7.46,2.42,5,0,0,0,0,1
121,0,7.61,0,5,0,1,5,7.52,30.28,5,0,0,0,1,4
122,0,3.29,0,5,0,5,5,3.34,5.74,5,0,0,2,3,2
123,1,9.2,0,1,0,3,5,8.71,26.49,5,0,0,0,2,1
124,1,12.8,0,3,0,1,4,7.15,16.97,1,0,0,0,0,2
125,0,16.04,3,5,0,3,11,7.9,25.51,5,0,0,0,2,0
126,1,4.85,0,8,0,1,1,6.69,8.1,7,1,6,4,0,4
127,1,3.99,1,5,0,0,0,5.46,29.02,5,1,0,0,2,4
128,1,3.84,3,5,0,4,1,5.14,3.62,5,1,6,0,0,3
129,1,10.72,0,3,1,6,9,9.01,27.32,9,0,0,0,0,0
130,1,6.04,5,9,1,5,5,5.77,8.49,1,0,0,0,0,4
131,0,1.48,0,1,0,3,5,5.44,1.74,3,0,0,6,2,4
136,1,2.71,3,12,0,3,1,4.07,3.73,12,0,0,0,0,3
137,1,6.94,0,1,0,3,11,8.07,7.99,1,1,3,2,2,2
138,1,4.71,0,6,0,3,3,6.44,8.04,6,0,0,2,0,2
139,1,3.63,1,5,0,0,0,5.23,30.64,5,1,0,5,0,1
141,1,3.53,0,1,0,3,5,5.98,3.62,1,1,7,2,2,0
142,0,7.48,0,2,0,3,5,6.69,14.25,2,0,0,2,0,0
143,0,5.69,0,1,1,6,3,7.37,13.17,3,0,0,0,0,3
144,1,5.3,2,3,1,2,8,7.0,12.83,5,0,0,0,0,4
146,0,4.44,3,1,0,5,6,6.36,8.85,6,0,0,0,3,4
147,0,8.51,3,6,0,1,3,10.13,11.88,6,0,0,0,0,4
148,1,6.11,5,6,0,5,3,2.99,5.75,3,0,0,0,0,4
149,1,3.8,4,9,0,4,5,5.34,3.54,5,1,6,0,0,4
150,0,18.19,0,9,0,6,5,16.8,35.34,5,0,0,0,0,0
151,0,6.7,3,5,0,4,11,19.34,13.82,5,1,6,0,1,0
152,1,15.0,0,9,0,4,5,18.12,17.13,5,1,4,0,3,3
153,0,6.4,5,1,0,5,5,5.12,8.14,5,0,0,1,0,2
154,0,5.75,3,1,0,1,3,5.15,8.21,5,0,0,0,2,2
155,0,5.09,0,7,0,5,8,6.59,8.05,5,0,0,1,0,1
156,1,3.36,0,5,0,5,4,3.31,2.62,5,0,0,2,2,4
157,0,7.15,0,1,1,6,2,11.77,24.53,5,0,0,0,0,3
158,1,5.97,3,3,0,1,3,5.06,12.95,3,0,0,0,0,1
159,1,6.64,0,9,0,3,1,9.01,10.35,1,1,3,0,0,1
160,1,2.17,0,6,0,3,3,2.92,5.62,3,0,0,6,0,3
161,1,3.59,0,1,0,1,1,5.55,8.82,5,1,3,0,0,1
162,1,4.27,0,7,0,1,12,6.87,7.67,7,1,6,0,0,4
163,0,6.94,5,5,0,5,5,3.29,7.99,5,0,0,2,2,3
166,1,0.81,0,6,0,5,6,4.31,0.99,3,0,0,2,2,3
167,1,9.04,0,1,1,2,12,8.71,19.59,1,0,0,0,0,4
168,1,21.94,0,1,0,6,3,6.96,40.85,1,0,0,0,0,2
169,1,21.79,5,1,0,5,3,5.48,35.33,1,0,0,0,2,1
170,1,8.35,0,9,0,2,5,7.06,18.35,5,0,0,0,2,3
171,1,4.03,3,1,0,2,5,4.95,3.36,1,0,0,1,2,4
172,1,2.05,4,2,0,3,2,5.26,2.04,2,0,0,0,0,1
174,1,7.85,0,1,0,1,2,5.88,7.94,1,0,0,0,0,3
176,0,7.99,6,1,0,3,5,8.45,13.61,5,0,0,2,2,3
178,1,6.33,5,1,0,2,3,4.31,12.17,3,0,0,0,0,2
179,1,2.53,3,8,0,3,8,4.9,5.37,8,0,0,0,0,4
180,1,2.36,0,6,0,5,6,2.77,5.59,3,0,0,4,0,1
181,1,5.81,6,1,0,4,5,7.19,13.68,5,1,1,0,0,0
182,1,8.37,5,9,1,5,3,7.16,10.29,1,0,0,0,0,1
184,0,15.98,0,1,0,6,3,17.13,74.5,1,0,0,0,2,0
185,0,13.65,3,5,1,4,2,10.04,17.64,5,1,2,4,0,3
186,1,11.92,0,2,1,5,5,5.26,25.81,1,0,0,1,0,1
187,0,3.64,0,4,0,3,6,4.56,6.61,9,0,0,2,2,0
188,0,2.04,5,1,0,3,4,4.52,2.86,1,0,0,6,2,2
191,1,9.53,3,5,0,2,5,10.57,12.34,5,0,0,0,2,2
192,1,3.98,5,12,0,3,12,6.02,5.51,12,0,0,0,0,4
194,0,12.95,5,12,0,2,1,8.39,23.97,5,0,0,0,2,2
195,0,10.42,3,5,0,4,5,19.98,12.88,5,1,6,2,3,3
196,1,10.68,0,1,1,6,9,6.69,27.44,9,0,0,0,0,4
197,0,4.23,4,2,0,3,2,6.87,3.97,2,0,0,0,1,0
198,0,4.25,4,1,0,2,5,4.84,3.46,3,0,0,2,0,3
199,1,1.81,1,8,0,0,0,0.0,0.0,0,1,0,0,3,4
200,0,7.6,0,2,1,6,2,12.05,25.57,5,0,0,0,0,4
201,0,10.04,5,5,1,5,6,6.58,17.22,5,0,0,0,0,1
202,1,7.07,3,8,0,2,1,6.06,8.97,5,0,0,0,2,2
203,1,3.85,5,12,0,3,5,4.44,7.79,3,0,0,0,0,3
204,1,1.5,0,7,0,3,4,2.21,2.24,5,0,0,2,0,2
207,0,6.16,5,5,0,5,4,3.27,8.41,5,0,0,2,0,4
208,0,8.11,0,3,0,4,5,6.89,13.8,3,1,4,0,0,1
210,1,4.39,4,1,0,2,4,6.35,4.7,1,0,0,4,2,3
211,0,7.13,0,1,1,6,2,12.54,24.0,5,0,0,0,2,1
212,0,19.66,6,1,0,6,1,17.27,36.43,5,0,0,0,2,2
213,1,2.78,0,1,0,1,4,4.96,6.38,5,1,3,0,0,0
214,0,14.61,3,1,0,3,5,9.08,26.48,5,0,0,0,3,4
215,0,10.85,3,5,0,5,3,2.37,14.57,5,0,0,0,3,0
216,0,10.18,0,11,0,3,3,4.09,17.69,5,0,0,0,3,2
217,1,9.05,0,1,1,2,12,8.99,18.68,12,0,0,0,0,0
218,1,7.33,0,9,0,3,1,8.69,11.54,1,1,3,0,0,1
220,1,2.09,3,5,0,3,1,3.43,3.48,5,0,0,5,0,3
221,0,3.61,0,1,0,6,9,4.21,10.0,3,0,0,0,0,2
222,1,6.21,5,9,1,5,4,5.91,6.64,9,0,0,0,2,3
223,1,7.95,0,4,0,1,4,5.31,10.56,4,0,0,0,0,3
224,1,20.97,3,11,0,6,3,4.98,42.21,1,0,0,0,3,2
225,0,11.53,5,12,0,2,1,6.73,23.14,4,0,0,0,2,0
226,1,2.4,0,1,0,3,4,7.74,2.64,5,0,0,0,0,1
227,1,7.76,3,9,0,2,5,6.49,18.17,5,0,0,0,0,1
228,0,6.29,3,1,0,1,5,6.09,10.51,1,0,0,2,2,0
230,0,7.35,0,3,0,3,5,6.32,16.43,5,0,0,0,0,2
232,0,1.41,2,1,0,3,5,5.27,1.46,2,0,0,1,2,3
233,1,2.85,3,12,0,3,12,4.15,4.49,12,0,0,0,2,2
235,1,6.17,0,9,0,3,1,8.2,9.84,9,1,3,0,0,4
237,0,8.54,3,6,0,1,1,9.91,14.37,1,0,0,0,0,4
238,1,6.32,0,1,0,5,3,6.11,9.68,1,0,0,1,3,0
239,1,12.19,0,1,1,6,6,8.01,29.75,9,0,0,0,0,3
240,1,13.09,0,1,0,3,5,10.25,30.89,5,0,0,0,0,3
241,0,3.73,0,1,0,5,6,6.49,7.88,6,0,0,0,3,2
242,1,7.49,5,1,1,5,2,4.52,13.38,8,0,0,0,2,4
243,1,5.34,5,3,0,6,1,2.47,4.28,1,1,0,0,2,1
244,1,3.03,3,1,0,2,3,3.84,2.68,1,0,0,0,0,4
247,0,7.66,0,3,0,2,5,6.45,14.67,5,0,0,0,2,0
248,1,6.82,0,9,1,5,1,7.8,8.96,1,0,0,0,0,1
249,1,6.05,5,3,0,5,3,3.83,6.65,3,0,0,0,2,1
250,0,4.3,0,1,0,6,1,5.43,12.5,1,0,0,0,2,4
251,1,1.79,0,6,0,5,3,2.95,5.54,3,0,0,6,0,0
253,1,6.38,0,1,1,5,1,8.41,9.13,1,0,0,0,0,1
254,1,2.29,0,5,0,2,4,6.93,3.31,1,0,0,1,2,1
255,1,23.15,3,6,0,6,3,5.25,33.34,1,0,0,0,0,3
257,0,49.57,1,3,0,6,3,5.71,34.8,11,0,0,0,2,2
258,0,3.98,4,1,0,2,5,4.01,2.98,3,0,0,2,2,3
259,0,5.87,0,2,1,6,2,10.98,24.61,5,0,0,0,0,4
260,0,3.13,5,1,0,0,0,6.12,7.11,3,0,0,0,0,0
261,0,5.93,3,6,0,5,10,5.18,12.66,5,0,0,0,0,1
262,1,7.79,0,1,0,2,5,14.56,7.33,1,0,0,0,0,2
263,0,7.07,0,1,0,4,1,4.73,12.86,5,1,7,3,2,2
264,1,0.67,3,6,0,5,6,4.62,1.07,6,0,0,2,0,2
265,1,4.04,1,3,0,0,0,0.0,0.0,0,1,0,0,2,4
266,0,3.47,3,5,0,5,5,3.72,6.82,5,0,0,2,3,1
267,0,4.5,3,1,0,3,3,5.49,4.97,1,0,0,0,3,2
268,0,7.68,3,6,0,5,6,6.8,13.86,5,0,0,0,3,0
269,1,10.85,6,1,0,6,5,11.07,34.56,1,0,0,0,2,2
270,0,3.64,3,12,1,5,4,4.86,6.33,1,0,0,0,0,2
271,1,4.07,0,3,0,3,5,5.81,3.82,1,1,7,6,2,4
273,1,5.68,0,3,0,1,3,4.82,13.12,3,0,0,0,0,4
274,0,10.1,5,5,1,5,5,6.09,25.72,5,0,0,0,0,4
276,1,9.59,5,11,1,5,10,4.56,24.12,2,0,0,2,0,2
277,1,9.28,5,2,1,5,5,4.72,13.55,1,0,0,0,2,1
279,0,6.28,3,12,0,3,5,4.26,13.91,5,0,0,0,2,0
280,0,7.2,0,1,0,2,5,6.54,17.55,5,0,0,0,2,2
281,0,5.64,5,3,0,0,0,6.58,16.37,3,0,0,0,0,3
282,1,6.39,3,4,0,1,4,3.62,8.34,4,0,0,0,3,1
283,0,6.96,3,3,0,0,0,4.74,15.73,3,0,0,0,2,4
284,1,5.61,5,9,1,5,10,5.28,5.5,9,0,0,0,2,0
285,0,3.68,4,1,0,2,5,5.19,3.31,3,0,0,2,2,1
286,0,7.03,0,1,0,6,3,5.62,12.69,1,0,0,0,2,2
288,1,8.46,0,2,1,2,1,9.4,19.57,12,0,0,0,0,1
289,0,7.25,5,1,0,0,0,9.27,69.15,1,0,0,0,3,4
290,1,7.38,4,5,0,4,5,13.85,12.91,5,1,2,0,0,0
292,0,4.42,6,2,0,0,0,5.06,19.83,1,0,0,0,1,1
294,0,7.73,3,1,0,1,5,6.51,10.31,5,0,0,4,2,4
295,0,7.92,6,2,0,3,5,8.42,14.27,2,0,0,0,2,0
296,0,9.85,3,5,0,4,11,23.73,12.74,5,1,6,7,0,4
297,1,2.55,2,5,0,3,1,3.67,3.59,5,0,0,0,0,2
298,1,5.55,0,3,0,1,3,4.87,11.2,3,0,0,0,0,3
299,0,1.55,2,1,0,3,5,4.48,1.52,2,0,0,0,0,4
300,0,9.94,0,1,0,6,3,7.38,12.94,1,0,0,0,0,2
301,1,8.75,0,1,0,3,5,10.22,29.51,5,0,0,0,0,1
302,1,12.24,3,1,0,4,5,11.12,14.93,5,1,6,0,2,1
303,0,6.96,0,2,0,3,1,7.23,6.02,5,1,2,0,2,2
304,1,14.28,0,1,1,6,9,8.29,25.95,3,0,0,0,2,1
305,0,10.23,6,1,1,4,4,9.41,18.5,5,1,2,1,0,4
306,1,0.69,0,9,0,3,1,3.95,1.02,11,0,0,0,1,4
307,1,4.4,0,1,0,3,1,4.65,5.65,6,1,3,0,3,4
308,1,4.51,5,3,0,5,3,3.27,6.07,3,0,0,0,2,1
309,0,10.13,5,1,0,2,1,8.47,25.39,4,0,0,0,2,1
310,0,8.13,0,3,1,2,3,7.85,17.6,5,0,0,0,2,3
311,0,5.5,0,1,0,2,5,5.79,6.25,1,1,7,0,2,4
313,1,6.01,5,9,1,5,5,6.34,8.7,1,0,0,0,0,0
314,0,8.06,3,1,0,4,1,4.76,12.25,5,1,2,3,0,2
316,0,5.14,3,1,0,2,5,6.49,8.95,1,0,0,1,0,3
317,1,1.25,0,1,0,5,1,1.75,2.28,1,0,0,6,2,1
319,1,8.16,3,9,0,2,5,6.26,18.97,5,0,0,0,2,0
320,0,4.84,0,6,0,6,1,6.1,12.22,1,0,0,0,2,1
321,1,8.52,3,9,1,5,5,6.4,10.16,9,0,0,0,0,2
323,0,1.51,0,3,0,5,5,5.68,1.74,3,0,0,0,0,4
324,1,15.08,3,5,1,5,1,4.87,25.73,5,0,0,0,3,1
325,0,5.58,0,1,0,1,3,4.31,6.93,5,0,0,0,2,2
329,1,4.64,0,3,0,1,3,4.59,12.88,3,0,0,0,0,3
330,1,13.17,3,1,0,6,3,6.02,43.81,1,0,0,0,0,1
332,0,3.68,0,1,0,6,3,4.37,9.65,1,0,0,0,0,3
334,1,2.69,4,3,0,3,8,4.14,4.46,3,0,0,2,0,3
335,0,7.34,5,2,0,1,2,7.04,19.69,12,0,0,0,0,1
336,1,3.25,1,2,0,0,0,3.38,15.2,1,0,0,0,0,1
337,1,1.1,0,5,0,3,5,3.37,1.67,9,0,0,0,2,3
338,0,10.84,3,3,0,2,1,7.95,24.27,5,0,0,0,3,2
339,0,6.95,0,3,1,2,3,7.01,13.82,5,0,0,0,2,0
340,1,2.73,3,12,0,3,5,3.01,3.25,12,0,0,5,0,3
341,0,5.24,3,3,0,0,0,4.99,14.48,3,0,0,0,0,2
343,0,11.58,5,4,1,5,6,5.69,17.66,5,0,0,0,0,0
344,0,4.67,3,2,0,3,2,5.73,3.2,1,0,0,0,3,2
345,0,0.9,0,9,1,3,5,5.31,0.98,1,0,0,0,0,3
346,1,9.27,5,4,1,5,4,8.87,14.56,4,1,0,0,2,4
348,1,7.65,0,2,1,2,12,9.33,17.96,2,0,0,0,0,4
349,0,4.86,0,1,0,6,1,5.16,10.03,9,0,0,0,0,0
350,0,5.8,5,3,0,3,5,6.38,15.46,2,0,0,0,2,2
351,1,1.59,0,1,0,5,1,1.92,2.61,1,0,0,6,0,0
352,1,10.89,0,3,1,6,6,5.77,14.9,12,0,0,0,2,4
354,1,2.54,0,5,0,2,4,7.75,4.3,4,0,0,1,0,0
355,1,2.57,0,6,0,3,3,2.72,5.79,3,0,0,4,0,2
356,1,2.81,5,6,1,5,1,2.58,5.28,1,0,0,0,0,2
357,0,3.42,0,6,0,3,6,5.0,6.85,9,0,0,4,3,0
359,1,6.25,0,1,0,5,5,5.25,9.86,1,0,0,1,3,0
360,0,10.55,6,1,1,4,1,11.91,17.52,5,1,7,4,0,1
361,1,1.07,0,5,0,3,5,2.46,1.31,9,0,0,1,0,1
362,1,2.81,0,1,0,3,5,8.59,2.72,1,0,0,0,2,4
363,1,7.48,5,8,1,5,5,4.51,13.38,2,0,0,0,2,4
364,1,3.06,3,1,0,4,1,3.77,3.34,5,1,6,4,0,3
365,1,4.11,0,1,0,2,4,7.31,3.6,1,0,0,0,0,1
366,0,1.3,3,1,1,3,4,5.82,1.07,1,0,0,0,2,0
367,0,5.51,0,3,0,3,3,4.48,10.79,5,0,0,0,2,2
369,1,7.18,2,3,1,2,4,7.2,13.63,5,0,0,0,0,2
370,1,6.11,2,5,1,2,4,6.84,13.26,5,0,0,0,2,0
371,0,8.89,3,12,0,2,1,5.65,19.85,5,0,0,0,2,3
372,1,3.91,3,3,0,2,3,5.46,4.54,3,0,0,1,2,2
373,1,7.15,5,3,0,2,3,6.42,17.69,3,0,0,0,0,3
376,1,6.41,2,3,1,2,8,7.52,13.09,5,0,0,0,2,2
378,1,1.48,0,1,0,5,1,2.04,2.47,1,0,0,0,2,3
379,0,4.02,4,1,0,2,5,5.02,3.27,3,0,0,2,0,3
380,0,7.78,6,1,0,3,5,6.09,13.63,5,0,0,2,0,2
382,1,4.91,3,3,0,1,3,4.66,12.23,3,0,0,0,0,2
383,1,2.35,1,11,0,0,0,3.2,15.88,2,0,0,0,2,3
385,0,8.64,3,9,0,2,5,6.71,17.66,5,0,0,0,0,3
387,1,8.13,0,1,0,3,1,8.9,14.61,1,0,0,6,0,3
388,1,3.31,0,5,0,5,5,3.97,2.6,5,0,0,2,0,1
389,1,6.96,5,9,1,5,5,5.78,8.99,1,0,0,0,0,1
391,1,3.16,5,5,0,3,5,4.38,3.05,5,0,0,2,0,3
393,1,9.69,1,9,0,0,0,2.87,23.86,1,0,0,0,2,1
395,0,5.34,0,1,0,4,5,4.71,9.05,1,0,0,0,2,3
396,0,9.5,0,7,0,2,5,7.81,20.18,5,0,0,0,0,3
397,0,4.2,0,1,0,6,1,5.05,10.85,1,0,0,0,2,2
398,1,2.71,0,1,0,3,5,6.37,2.49,1,0,0,0,0,3
399,1,10.8,0,1,1,5,1,6.67,15.14,1,0,0,6,0,3
401,1,14.37,3,1,0,5,3,5.57,31.01,1,0,0,0,0,0
403,1,0.61,0,9,0,3,4,3.93,0.94,11,0,0,0,2,2
404,1,12.1,3,6,0,4,5,16.25,17.06,5,1,4,0,3,3
405,0,4.88,0,1,0,1,5,4.44,7.35,5,0,0,0,2,0
406,0,7.04,3,3,0,3,5,5.69,12.39,5,0,0,0,0,2
408,0,3.72,3,1,1,5,4,5.22,5.98,1,0,0,0,2,0
410,0,4.3,0,9,0,3,6,5.44,7.11,9,0,0,4,2,1
411,0,5.26,3,3,0,0,0,5.13,14.36,3,0,0,0,0,3
413,1,10.29,0,1,0,3,5,10.79,31.25,5,0,0,0,0,1
414,1,9.5,0,5,0,2,5,10.63,11.89,5,0,0,6,2,2
415,1,7.42,5,8,1,5,6,4.78,12.07,5,1,0,0,2,2
416,1,7.63,5,2,1,5,5,4.4,12.21,8,0,0,0,2,1
417,0,8.37,0,12,0,3,5,5.09,15.5,5,0,0,0,2,0
418,1,8.83,0,1,0,3,1,9.01,12.44,1,0,0,6,0,2
419,0,12.17,5,3,0,2,1,6.31,22.9,4,0,0,0,0,4
420,1,6.39,0,9,0,3,1,8.08,10.01,3,1,3,0,0,4
421,1,6.82,0,3,0,1,3,6.04,14.21,3,0,0,0,0,4
422,0,10.8,0,7,0,2,5,8.08,20.68,5,0,0,0,0,1
424,1,4.7,0,10,0,2,5,4.78,6.08,5,0,0,0,0,4
426,0,6.43,0,1,0,3,1,6.43,5.53,5,1,2,0,3,0
427,1,7.89,3,3,0,2,3,6.88,11.22,5,0,0,0,0,2
428,1,7.51,3,3,0,2,3,4.59,14.39,3,0,0,0,0,4
429,0,5.24,0,8,0,5,8,5.22,6.7,5,0,0,0,2,4
430,0,6.32,0,1,0,2,5,6.02,6.57,1,1,7,0,0,0
432,1,5.64,0,4,0,2,5,5.73,7.33,5,0,0,0,0,0
433,1,6.14,5,3,0,5,3,3.54,6.6,6,0,0,6,2,2
435,0,5.35,3,10,0,2,5,6.01,9.62,1,0,0,1,0,3
437,1,2.8,1,2,0,0,0,4.75,16.06,2,0,0,0,2,2
438,0,8.35,0,3,1,2,3,7.49,15.79,5,0,0,0,0,2
439,1,4.15,2,5,1,2,8,5.51,11.15,5,0,0,0,2,2
440,1,10.49,0,1,0,3,5,10.75,27.5,5,0,0,0,0,4
441,1,4.12,1,5,0,0,0,5.41,30.76,5,1,0,5,0,0
442,1,2.12,6,1,0,3,2,6.94,2.5,3,1,6,4,0,4
445,0,6.43,0,5,0,5,4,3.32,8.79,5,0,0,2,2,0
446,1,5.83,0,9,0,3,3,8.91,10.55,9,1,3,0,0,4
447,1,0.67,3,6,0,5,6,5.08,1.05,3,0,0,2,2,2
448,1,3.66,0,5,0,2,4,7.76,3.65,1,0,0,1,0,3
449,1,4.92,1,5,0,0,0,5.44,28.18,5,1,0,5,0,2
450,1,1.0,0,5,0,3,5,3.57,1.61,9,0,0,0,0,1
451,1,3.31,0,3,0,3,5,5.46,3.53,3,1,7,6,2,4
453,0,7.29,5,5,0,5,5,3.63,7.78,5,0,0,0,0,4
455,0,8.59,0,1,0,4,4,4.68,12.62,5,1,2,3,2,3
456,0,11.03,0,1,1,6,3,7.56,17.31,3,0,0,0,2,1
457,1,11.77,0,1,0,3,5,12.43,33.25,5,0,0,0,2,1
458,0,4.54,3,1,0,2,2,6.7,4.17,5,0,0,0,0,1
460,1,5.22,0,9,0,4,2,6.55,6.52,11,0,0,4,0,3
461,0,1.93,5,1,0,3,4,6.34,3.3,1,0,0,1,0,4
